TITLE	MAIN_CONTENT
regard robot return	greeting from yantra all the participant who have receive email regard return the robotic kit with accessory to yantra must do so before the deadline i.e. th april- to the address give in the mail.also update the tracking of the shipment on the google form give on the portal email regardingreturne the robotic kit with accessoriesto collegemust do so before the deadline i.e. th april- also upload the robot return acknowledgement follow the step give on the portal thank regard
regard certificate	have participate in the competition but somehow fail to enter in task have complete the previous task do team get the certificate of participation
change shipment address of certificate and goody	sir summer holiday of two month be go to start from first week of may only now if be deliver at the end of may then how can recive plss allow to make change in the address of shipment of participation and goody that go to receive plss do respond thank
task_solution	be humble request to the yantra team please provide complete solution of task- specially the communication part with blender use any microcontroller would be very helpful if get these solution the competition may end but learning should never
certificate and goody	please deliver the certificate as soon as possible as have to show in college plz do nt forget the goody
model_a_terrain	try good to formulate the solution to the theme but approach do n't work out be curious to know the solution to the theme could share the logic behind scan the grid completely
regard certificate	hi sir mam have n't receive the certificatesye please look into the problem and let know by when will be get semester be end and be suppose to produce the competition certificate as proof that do work for the competition thank
no certificate yet	have n't receive the certificate and goody yet either
regard completion certificate	dear sir one of the team in college have receive participation certificate along with goody but have n't receive completion certificate yet.when will receive thank
regard certificate	sir could not qualify in the final but have be tell of get participation certifaciate and earlier be mention of get brand goody sir plss eagerly wait for reward thank
video of final	sir will the video of the final be available
need of resource	sir be from lm actually get impress of someother theme and want to know how to make work.so need the resource guven for that theme.can get need resouce for bothoven balancethe bot
regard wi fi	dear finalist please refer to the follow to connect to internet at iit bombay at the final venue vmcc account name userid eyrc .wifipassword butndr without quote
final	on what basis will the panel judge in the final
cross the border over air	this may sound trivial but just want to confirm the bot arm and body may cross the black border aerially at certain position but no part of the robot touch the outer part this be perfectly fine and do not count as cross the border correct
regard security check issue of firebird and other accessory	sir can please provide with any letter or endorse document which can produce if demand by delhi or mumbai railway station security staff for carry such electronic item thank
regard selection	sir be suppose to get any mail regard selection
regard attendance benefit	will be provide any attendance benefit for attend the competition
doubt in the camera position	cc hellowe want to know the exact position of the overhead camera in the plane believe that will be in the center in that case the bridge cavity detect be at angle so create an offset problem while drop the boulder if possible suggest some ways.it would be very helpful if get an image of the actual arena from the overhead camera.hope to get quick response.thank
memory issue	be face serious memory issue and think free function dosent work can anyone please help out on how to free memory theme bv
regard robot tracking	hello sir be not able to track the robot in bridge region properly in task have actually place red circle on top of the robot and be use specific contour area to detect this circle.this technique be work fine with bridge but in bridge be face the problem due to prsence of the block some time get detect and sometimes not could pls tell the actual way to track the robot because this contour detection way give problem sometime and at some configuration of the arena regard theme cc
confusion in start position	sir the final instruction say that robot will be place such that the line sensor be ahead of the start mark just want to confirm whether the line sensor will be place above the first node or ahead the first node on the black line please reply as soon as possible as affect algorithm thank
query regard certificate and goody	every team in college have receive goody and certificate except team cc-
final	sir for the final will be provide with laptop on which have to run code or can use own as need to install ssh in python for complete automation thank
number of finalist	greeting from yantra have select team from the theme as finalist lm mt nt cc bb eb bv note that the selection be base on the performance of the team in the task and the video submission if team have high score in the task but submit hard code solution in the video that team may not be select even though have high score yantra strive to inculcate sincerity and fair practice in competition
how do detect junction while line trace on firebird	be trace black line on firebird but the problem be that be unable to detect junction what could be the problem
regard selection letter	sir when will the selection letter be provide clg be ask for the same
task timing	pls tell the good timing of original configuration of task from each theme be highly need
thanks_to_eyantra	team qualified stage- be part of eyantra be wonderful experience be first year student thus be quite nervous in the beginning of the competition but just after task realise that be so well organised that person have patience can perform good personally like the idea of provide study material regard each and every task this be the good part of eyantra as bring every participant at equal stage really like this competition and hope that next time will make to iit bombay be new to micro controller and interfacing with blender face many challenge in fact this be the most difficult part for request the eyantra team to provide detailed tutorial on xbee communication with blender so that can use this concept to link blender with any other micro controller this could also help in build interesting and useful project again thank lot to the eyantra team for guide throughout the competition
regard placement of shape	placement placement will be give such kind of shape placement in placement the robot be bind to miss the node detection and in placement one object be share between two shape
regard yantra goody shirt	have receive yantra shirt today but size of shirt be large so can those shirt be replace with appropriate sized shirt
eyrc finalist	------------------------this be final warning---------------- dear finalist team member who have not yet submit bank account detail request to fill and submit bank account detail on portal each member of team have to fill and submit bank account detail on portal mumbai team member also request to fill and submit bank detail on portal
regard number of finalist	sir can please provide the number of finalist team in launch modue theme and the cutoff mark for the finalist selection
finalist	how many team be select for final from bothoven theme be team or team
result graph	score mark in original configuration mark in code that amount to total of only team have score above in theme yet be n't selected.this thing do n't seem fair.i think should have be give chance look at performance in previous task task- task- score and task- score.i request to reconsider the evaluation once again nt
reagrde result and graph	how many team have qualify for the final
travel detail	sir be mention in an early post that should submit travel detail and bank account detail by tomorrow midnight but could n't find any option for submit travel detail please reply asap
graph	sir when will the graph be display in task of result section
practice arena from rd morning	theme launch module start immediately from the morning of th so the practice arena would be provide from the morning of rd correct can come there at be
eyrc finalist	all finalist team be request to fill and submit travel detail on portal by tomorrow midnight also each member of team have to fill and submit bank account detail asap
ccfinal	dear finalist here be few suggestion which can choose to follow for theme if be not use perspective transformation then will be difficult for to calibrate robot base upon the arena will provide to practice session team may have to use re position restart in case bot go haywire so code should be ready to handle re position restart study about the rule regard these carefully team be not require to display number on lcd just display on the python console always have the battery sufficiently charge for the final demonstration or keep extra battery if have remember yantra wo n't provide another battery team can use the algorithm describe here click here for full proof number detection each team will be provide with laptop to run the code for the practice session laptop will have both linux and window instal may have to install respective library to run code
regard the final result	sir when will the graph for the final result be available on the portal have complete the original task and get mark want to see the cutoff
bank detail error	sir when try to fill up the bank detail get the follow error write on page whoop look like something go wrong team eyrc nt
reagrde bank detail	for reimbursement of travel expense should the participant be the sole bearer of the account or can be joint account
question about bank account detail	whenever enter the bank account detail an error page pop up that say whoop look like something go wrong try everything could but nothing seem to work what should do
participation certificate	in the eyantra portal be mention that team be eligible for letter of participation be earlier tell that would get participation certificate have not complete the task but submit the code and video show whatever manage to do kindly clarify this at the early thank team mt-
contest end time on th	sir madam have to return to college on due to some reason and so need to know around when will the contest end on th have to book ticket and wish to know the same.our route be from new delhi to mumbai.thank
regard ticket reimbursement	whether rajdhani ac ticket would be reimburse
be practice arena and final configuration will be same	the practice arena and final configuration of arena @iitb final wiil be same or different.if not when do the final arena will be disclose
regard final result	sir one of team member be out of station so could n't fill the feedback form but other three team member have give the feedback.now because of this be not able to see result also try get this issue resolve through helpdesk but no proper response be provide so request to kindly let know about result for now and the th member will fill the feedback form as soon as get back.below attach be the message be get on portal.team eyrc track cn qp.png
certificate	sir team complete the final task with decent score of probably be not select because other team score more but why be not be provide with certificate of completion and just certificate of participation lm-
regard the complete certificate	dear sir when will be receive completion certificate what will be the mode of delivery speed post and will be receive any goody along with thank
regard graph display	when will the graph be display in task of result section in order to get familiar where stand now
regard mark for code	what be the total mark for code in the final result
sample arena provide	dear sir madam just want to know if arrive iit bombay on march after be whether the sample arena that be propose to be give for each theme for practice be available for day prior to competition i.e. march or not can please specify the information in brief with the time of availability of practice arena as date of the journey will be accord to please reply asap as be feel restrict to book ticket without reply regard anuj gupta team leader cc-
regard reporting time	exactly at what time the mumbai team be suppose to report on th march team mt
reimbursement of travel expense	dear sir madam want to know on what basis will be give the reimbursement of tier ac ticket if travel by flightsince there be train with very varied train fare tier ac like rajdhani duronto garib rath .will re imbursethe travel make via rajdhani express tier ac please reply asap regard anuj gupta team leader cc-
request for goody	sir be write that wl get brand goody also with the certificates.so be really go to get
report time	dear sir mam exactly at what time the outsider team be suppose to report on th march please reply asap as have to book the ticket accordingly regard anuj gupta team leader cc-
regard final result	because of holi vication one member of team be not able to fill the feedback form and be not able to make contact with so please tell the result team be
participation certificate and goody	sir unfortunately could nt qaulify for final but when be go to get certificate and goody will be deliver to home address
final result announce	hi all wait be over result of eyrc- announce on portal please login on portal to check result congratulation to team shortlist for final at iit bombay make sure fill the travel detail asap note that be also allow to make improvement in software hardware hope be good learning experience for all team be constrain by various factor and hence can only call few best perform team per theme for the final appreciate effort put in by all team and have award certificate and letter of participation to team depend on performance note please do not send email regard any reconsideration no such request will be entertain wish all the good for future endevour
comment in final result	sir comment section in result state that laser pointer be not focus correctly on the arena.we increase the area of focus for laser so that image processing can be do well otherwise would n't have be possible to detect it.please tell if any mark have be deduct for this reason.if be that do n't seem fair nt
task result	the remark mention by the instructor on the portal for the final task result seem to be disheartening.the task be do with lot of effort and state the the video as edit be bit over the top.our code submission file tag as corrupt but find no with the upload file.kindly verify the final upload
final	sir for the final will be provide with laptop on which have to run code or can use own as need to install ssh in python for complete automation thankyou
confusion in result	"sir have provide task code with comment as well as in document form yet in the result comment say no code documentation whatsoever"".please check out that may also tell the total mark award for code nt-"
doubt in the result	have n't submit the video but have submit the code even then get mark for code may know the reason behind this thank
query regard completion certificate	when will receive completion certificate and goody
result	hi get an mail notify about the result but be unable to submit the feedback form keep get whoop look like something go wrong what should do team
feeback form not proceed further	this be after fill the feedback and click the submit button
result announcement eyrc-	dear team result have be announce visit the eyrc portal for more detail all the good team yantra
error while upload youtube link at eyantra portal	dear sir be very sorry for complete the task so late but have upload the code folder on portal not able to upload the youtube link on portal as be show error have mail the youtube link on helpdesk please consider the request for certificate of participation and compleance.\ team mt
regard letter of participation	want to know when will get letter of participation may be goody whether have be send to college or not theme of team be cross_a_crator be not select for stage but base on performance be eligible for letter of participation
result	sir what time be the result can specify exact time
regard completion certificate	respected sir madam unknowingly cross the submission deadline of th march till when exactly be allow to submit video and do remain eligible for the completion certificate if yes then till what date can submit thet video regard team
regard the certificate	as the absolute deadline be march know can not make to the final but up to what date can submit the task video to get certificate of completion or certificate of participation
regard submission date for participation certificate	respected sir unfortunately could n't complete the task on give date but now have complete can submit the solution for certificate of participation
thank eyantra	the journey of eyrc be memorable one for all of learn lot through this competition and will continue do so further be skeptical about the task as go further ahead in the competition but the task be so give that build new concept on the basic of the previous task want to thank eyantra for provide with such great platform for learn also would like to thank the instructor for provide with all the help that need during the entire competition p.s sir be unable to perform the task due to some reason want to complete the task but have exam from tuesday th march have request will please evaluate the code if submit the code for task to by th march and give the feedback do not want to be award any mark for just want to get feedback on code team- cc
bonus video	sir be not sure if have to include the introduction part in the bonus video be important to include introduction in bonus video upload in original configuration what should be do
regard participation certificate	respected sir would like to know will get participation certificate if have reach stage irrespective of score if be less than team be lm .please do reply as soon as possible.we also have n't submit video for stage
penality regard query	dealine of hrs be today can submit task tommorow with penality or have to submit by midnight today with penality
forget to merge the introduction part video	take the introduction video and demonstration video separately and forget to merge both in the final submit video.what can do
regard avr bootloader	sir be have lot of trouble with the boot loader be face problem with upload the code also the port take many trial to detect have try this with laptop but everytime the same problem occur have work hard and complete code but with the above mention problem be have trouble upload and testingthe bot try to install avrdude in many laptop but be also give error need to change the threshold repeatedly and hence upload the code again and again which be take time because of the bootloader problem be confident about code and will upload on the portal on time but be unsure about upload the video on time what should do please help
countdown timer	be mention that the portal close at midnight but accord to the counter show for will close at am.what do this mean
video submission url error	dear sir mam while upload the final configuration the upload be cancel because of power cut the url that get initially have now change have attach the screenshot of the cancel video upload before schedule time regard anuj gupta team leader cc
error while video upload	dear sir mam while upload the final configuration the upload be cancel because of power cut the url that get initially have now change have attach the screenshot of the cancel video upload before schedule time video link redact regard anuj gupta team leader cc
regard the penalty on cross the deadline	want to take the option of submit the video and take penalty can please confirm that can do that
regard final task	hello instructor there be problem with bot due the motor be not run as expect although be receive power although rest of the task like detect laser work with node mcu along with acknowledgement check point detection and rgb lead be complete perfectly will be work on correct that glitch too be there any chance of for be at final
add introduction of absent member	one teammate can`t be present while record original demonstration as be out of city have introduction separately which have send on whatsapp should edit the demonstration video and paste introduction but edit video be not allow so what should do plz suggest
query about completion certificate	please can mention the criterion for get the completion certificate for navigate terrain have less time .please reply asap
repositioning of sensor and addition of extra light source	can re position the ir lead sensor present on the side of firebird can add an extra light source to get well reading from ir sensor be request instructor to please reply as soon as possible thank
important deadline relate instruction	hi be extremely important to keep track of deadline today be last day to upload original bonus configuration video portal will close today midnight the system for upload download be automate so please take note of follow can not give access to configuration file via emailwe can not consider submission make via emailwe can not provide extension in date for upload the final tasktask- submission also include code submission with proper comment deadline for code submission be also today midnight.if face any issue while upload download take screenshot will consider genuine request if produce screenshot be very unfortunate that few team do not download the configuration file on time feel bad for but can not help either have to keep rule uniform for all team
urgent regard the total score formula	would like to know how the gradation evaluation scheme would be for the following scenario if the robot place object in designate door area cell and the buzzer be not sound but the video be stop please answer as soon as possible
charge problem	sir from morning be use the robot and the battery be drain .we charge the robot in the evening and 's almost drain out.now,we be unable to charge at am .as have only hrs to submit the task.we need to do more runs.after heat the battery surface use external substance 's not get charged.any alternative that can do now please tellreply asapthank in advacne
mistake in uploaded original configuration	sorry make mistake forget to show the title slide in the video lm
hardware_firebird	sir not able to dump the hex file into hte bot show an sec time out error have reinstall the driver and the application once again please help asap as have to submit teh video late by tomorrow afternoon
bonus video	the readme for the bonus video say introduction video demonstration video do need to shoot another introduction video state the same thing as in original configuration video or can use the same video
regard the displacement of the object in the arena	respected sir if the robot miss to pick the object while place the object at the doorarea if have not deposit at the right place .can take the object and place at the right door area cell this be query regard reposition human intervention please reply asap thank in advance
regard different output of the same code	sir be face problem while run the code in avr studio if modify the exist project file in the yantra dvd folder the code run fine and the output be as expect but if copy the same code in new project be get different output kindly assist
query regard xbee	what be the process to suspend the xbee usart function because while usart be in action any other function do not work
stg cross_a_crater	team do nt need to display the detect number on lcd display only on python console.xbee connect to the laptop should also be in the view along with the laptop for the video
start node bot face	the bot should face toward the end point or opposite as be write only start node in the readme file
exception node_mcu	sir have write code for node_mcu which sometimes run fine sometimes throw exception or
submission of python code	have split python code into many file and be import internally in each file for code legibility reason want to keep as separate file can just upload these file instead of combine into one there will be main file that execute every other script
battery	sir can use extra battery to drive the rover
regard two run in video submission	be mandatory to perform two run consecutively as be not mention in rulebook and the readme original config pdf that have to compulsory take two attempt since submit video with one good possible run as in first time run be near perfect and in min possible time reply asap
firebirdv have stop work	sir maam bot be give constant burning smell when be run the code.and be ready with everything like embed and blender code.please help us.please provide the feasible solution of problem.reply asap
hardware pwm	sir can use hardware pwm in raspberry pi
do follow mean the bot should travel only in forward direction	should only use laser for just follow
navigation	everything be work fine.communication be perfect.coding be done.but be still confused how to navigate bot by use so bad camera.trie different thing but
code submission	sir accidentally submit the undocumented code please allow to resubmit the document code since be yet to reach deadlineteamid
use of breadboard for connection	respect sir/ madam be allow to use breadboard for connect raspberry pi to the motor driver and the rgb lead regard team
lcd print float value	how can print float value on lcd use the library provide by eyantra
unable to load the program to robot	be receive error serial port timeout set to sec.an error occur timeout during com port read operation have follow all the solution give to by yantra team help asap
removal of sensor	be allow to remove front sharp sensor and lcd from firebird robot
robot movement alignment problem	have try all the possible solution to correct the alignment of the robot like pwm velocity control but the deflection in the robot be random do not always deflect to one side moreover sometimes may or sometimes may not deflect think there be some problem with the caster wheel please reply asap
final configuration	be the final configuration of arena same for all the team please reply asap
doubt about remain path	sir in rulebook this be give pd be the number of remain path other than obstacle and shape that be correctly detect and model on blender please clarify that if have to show all the path i.e. all path in blender or wecould leave other path if all the object obstacle and shape be detect in less than path please clarify the meaning of remain path
battery voltage calculation	how be the voltage sensor value compute after pass through adc conversion function the example code in the experiment folder compute float value like this batt_voltage adc_conversion there be no proper documentation in both software or hardware manual explain this formula use
different power source during video recording	what if battery have stop work and need to use auxiliary power to record the demonstration video be this allow
display of number identify in the bot 's lcd	team eyrc cc helloas mention in the theme rule book have to display the number on the boulder identify in the python console and lcd present on the bot also in the demonstration video have to capture the whole arena include the python console on the system.so how can ensure to capture the lcd output clearly without move the camera and at the same time capture the arena with the python console thank
wrong countdown timer	dear sir madam as download the task original configuration at pm march the countdown timer start for hour instead of hour and be still run on the same basis hour for video submission please correct the problem asap and please reply back because do n't get any reply by almost everytime regard anuj gupta team leader cc- anujnit @gmail.com
wrong timer countdown	dear sir madam as download the task original configuration at pm march the countdown timer start for hour instead of hour and be still run on the same basis hour for video submission please correct the problem asap and please reply back because do n't get any reply by almost everytime regard anuj gupta team leader cc- anujnit @gmail.com
regard original configuration download	sir due to poor lan condition in college for past couple of day be not able to download the original configuration have all the code ready for task- can please open the portal again so can download the original configuration.thanke in advance lm
how to run python script concurrently in pi	how can run script at the same time in pi
servo keep change the initial position	sir whenever disconnect and then again connect the power source to nodemcu then the servo deflect from initial position please provide the solution to
node mcu not work	all of sudden node mcu stop work what be the further step should follow
pi be not work	pi be connect to the monitor directiy and be work on the pi run python code but suddenly monitor become black.so turn the power off and then plug the power back on thegreen and red light turn on but be not boot and cpu start heat instantly need help urgently here be the link for the video to show up the process https //youtu.be wxq hm oxb team yrc
download the original configuration	dear sir be min late and could not download the original configuration can please get to download have work very hard on project do not want any extra time for the task will submit before midnight of th march thank nt
nodemcu not work	respected sir nodemcu be work fine till now but suddenly stop work and now be give error have try all step give in previous discussion but no positive result please help thank
can use volt battery to operate the rover	can use volt or volt battery to operate the rover instead of power bank
do n't find start location	sir be from eyrc do n't find the start location from where and which direction firebird will start help asap
stg cross_a_crater	team do download the original task before time run out final one hour minute leave
confusion regard upload the code on portal	sir do have to submit the zip folder of embed and blender in eyrc portal also if yes then blend file be about mb in size which be great then the specify limit mb on eyrc portal the readme file in final configuration do not mention uploading in eyrc portal but team have get penalty of follow similar type of instruction in the previous task submission so please clearify this doubt as soon as possible
disable ir sensor	sir be use none of the ir sensor nor the distance sensor and wish to turn off for power saving .to turn off do just need to remove the jumper or do have to do via software have not initialise the port for ir sensor or distance sensor thank
give the sum input	sir do have to give the sum as command line input or do input while the python code be run thank in advance
regard task	the yantra portal be not open and have not download the video configuration till now deadline be of today midnight but the site be not open now what to do please reply asap team
permission to use new node_mcu	be nt the problem be face be that node_mcu lead be also not blink when connect or power on the arduino detect device but result in the same error finally try flash the firmware use this link that be provide by http //daker.me/ /flashing lolin -nodemcu firmware.html get the error fatal error occur fail to connect to espressif device time out wait for packet header since do not have much time leave to finish the task have purchase new node_mcu but be from different manufacturer be manufacture by amica and not lolin be small in size but all the specification port be the same the only difference be in the driver ic here be the specification http //www.electrodragon.com product nodemcu lua amica -esp -wifi board/ prettyphoto kindly grant permission to use have attach image one show the new node_mcu alone and another compare in size with the old one
can calibrate ir sensor	ir sensor in robot be not give proper value only one ir sensor be work fine be there any way to calibrate ir sensor
regard python code run in background	sir would like to know whether can run python code to capture and write the image continuously while run main code consist of path find zigbee communication etc request for an early response thank in advance
regard wheel	the wheel of the robot give to be not proper mean there be some bend in one wheel so robot start change direction bysome degree even if encoder be use so can change the wheel of the bot please answer as soon as possible
use of voltage regulator ic	hello can use voltage regulator ic to control servo motor
regard the library use in python code	sir currently be use library call request in the python code to send the datum to the nodemcu so be allow to do the same or need to use something else
issue with cv .videocapture getperspective	while use cv .video capture cap cv .videocapture time.sleep while ret thresh cat.read if ret true img getperspective ret if img return img but keep get none for perspective imageplease help
regard placement of object	in configuration file only object be shown.so need to place object or object should be place in arena.please reply asap
regard the the final video submission	sir can shoot the introduction video and the run video separately and add
regard the introduction part of demonstration video	the demonstration video will be one shot video so can append the introduction part later on thank
regard power supply of rover	can use some other alternative for power up the motor of the bot as the cell be use be n't provide efficient power to drive the bot please reply asap
about blender implementation	when bot be scan arena should the object and obstacle etc be display one by one or all of together at the end of scan please reply asap
navigate_a_terrain	can use rpi model instead of
movement on marker	can the robot move on marker
navigate_a_terrain	dear sir can color print the checkpoint of the require dimension and use those team
error message by node mcu	sir be face the problem to upload the program in node mcu previously be work properly but today be unable to upload the code on node mcu be give message espcomm_upload_mem fail plz post the solution asap thank
gy- code	please prvide any demo code for read value form datum register of gy- ----also provide with proper device thank
establish communication with rpi	respected sir to establish communication need script to be run on rpi for that need to login into the rpi use basic raspbian which use terminal else ca nt run the script for communication how do run that script without touch the bot remote login be allow during the competition
regard mqtt esp	sir have establish link between laptop and raspberry pi publish message to by refer to the link have provide be very much confused to connect the esp to the laptop as in the example sketch ask for ssid but do n't have one such ssid and password for laptop please do help sir
robot initial position	in the theme rule be give that the robot will be place at the block and face the door area can hard code this in code can change code for the bonus configuration after submission of the original configuration
blender arena trace	how to trace the arena in blender .we be able to map the robot 's movement.but do n't know how to make the arena .arena be create only after press the escape button.suggestion please .mt
about obstacle detection in cross crater	sir as height of obstacle be less than sensor height so bot be not detect the obstacle please provide some help
number of team that be go to be select for final from each theme	respected sir just want to know how many team from each theme be go to get select for the final thank
instruction video	sir some of team member be n't present so how can shoot the instruction video which require presence of every team member
interface the gyro	as be pretty amateur with communication so be unable to interface the gyro with the firebird and please let know how to find the parameter like dev_add who_am_idev_id_val please please reply asap
gy initialization value	sir madam could not find the correct value for device initialization define init_reg define init_val eyrc mt
certificate	what certificate other thing will get if do n't submit task
be real time modeling of object compulsory	the mapped object and other thing of the arena be not create in real time but as the game end and press escape everything be perfectly model so want to ask can be consider right or be compulsory to model in real time instructor please reply asap regard mt
use auxiliary power	can use auxiliary power while record the video
battery not charge	on connect the adapter to charge port and battery to battery port green lead glow for secs and turn off then bot be give continuous beep along with red lead in interval of sec battery be on low power too what to do
what path the bot should choose max point gain or min time of travel	what if the bot choose path with minimum time and less point then who will be give preference point or time
can use matplotlib.py for template matching	for template matching need to use matplotlib.py can use or only allow to use cv .py and numpy
reg deadline	if download the task on friday evening can submit by sunday evening the midnight concept be bit confusing be the submission at the end of sunday or in the morning of sunday thank mt
color sensor do n't work	as tell in do all the connection and write code for but be not work
grid design	be necessary to design the grid in blender or only the object shape present on arena and appropriate placement be sufficient
overall bonus for original configuration	accord to rule book overall bonus pt be earn when all boulder should be pick and drop all boulder mean all the boulder or all the boulder that choose for the bridge for eg --if choose bridge have to drop boulder or have to drop boulder in bridge and in bridge for overall bonus answer asap
gy lose	have misplace gy sensor.we have search for in almost all the shop but be not get can use other sensor with same specification please reply asap
regard vedio recording	sir can not understand how to record the vedio of blender and bot move on arena at the same time plss help with urgent
front ir sharp sensor	when any object come in front ir sharp sensor first distance decrese and when object come more near this distance increse instead of decrese be not able to understand this plaese explain asap thank
