TITLE	MAIN_CONTENT
Site has been down.	"Sir/Madam,  I am unable to login to the portal. It says ""Whoops, looks like something went wrong."" I would like to know when the site will be up again.Thank you"
Resume Github link submission	Do we need to update Resume link only on google form or should we update the same on portal?  
regarding certificate	"Hello It is stated in the portal that, we are eligible for the letter of participation. We haven't recieved it yet. Also, are we eligible for eyantra goodies? Thank u for ur time  Appreciate it. Team id NT #164"
Resume Reference	What should we put in the reference section?
Regarding The Robotic Kit return	"Sir, We didn't get any email for the robotic kit return. Please tell us what to do ..when and where to return the kit."
Regarding the return of kit.	We didnt get any email regarding kit return. What we had to do now? return kit to college or sent it to eyantra?
Uploading code on GitHub	Is it required to support the projects on our resume by uploading the project codes on GitHub?
Latex package query	Can we use any package or is there any restriction?
Photo gallery	Please make the drive link for the photos on the website as public. Thanks. 
Resume Query	Can we use templates available online?   #LM4787
Address for returning robotic tool kit	To which address we were suppose to return the robotics tool kit ?
Spelling mistake in certificate	I received the certificate but it is in my father's name and not mine. Rest of my team members have received correctly spelled certificates. Please advise
Regarding Robot Return	Greetings from e-Yantra!!!   All the participants who have received    1>email regarding returning the robotic kit with accessories  to e-Yantra must do so before the deadline i.e. 28th-April-2017 to the address given in the mail.Also update the tracking-id of the shipment on the Google Form given on the portal.   2>email regarding returning the robotic kit with accessories  to their College  must do so before the deadline i.e. 28th-April-2017. Also upload the Robot Return Acknowledgement following the steps given on the portal.   Thanks & Regards
regarding certificates	we had participated in the competition but somehow we fail to enter in task 2. we had completed the previous task. Do our team get the certificate of participation.
changing shipment address of certificate and goodies	" sir, our summer holiday of two months is going to start from first week of may only. now if it is delivered at the end of may then how can we recive. plss allow us to make changes in the address of shipment of participation and goodies that we r going to receive plss do respond thanking u.."
Task_Solution	"It is my humble request to the E-Yantra team , please provide a complete solution of task-5 , specially the communication part with blender using any microcontroller. It would be very helpful if we get these solutions. The competition may end , but learning should never."
certificates and goodies	Please deliver the certificates as soon as possible as we have to show them in our college(Plz dont forget the goodies ).
Model_a_Terrain	We tried our best to formulate the solution to the theme but our approach didn't work out....we are curious to know the solution to the theme.....Could you share the logic behind scanning the grid completely.
Regarding Certificate.	"Hi Sir/Mam,                       We haven't received the certificates yes. Please look into the problem and let us know by when we'll be getting it. Our semester is ending and we are supposed to produce the competition certificate as a proof that we did work for the competition.   Thank you.  "
No certificate yet	We haven't received the certificate and goodies yet either. 
Regarding completion certificate	"Dear sir, One of the teams in our college have received their participation certificate along with their goodies but we haven't received our completion certificate yet.When will we receive it??   Thanking you"
regarding certificate	"sir, we could not qualify in the final but we have been told of getting participation certifaciate and earlier it was mentioned of getting branded goodies,, sir plss we r eagerly waiting for our rewards. thanking u.."
Video of finals	"Sir, will the video of the finals be available?"
Need of Resources	"sir,I am from #LM1211, Actually I got impressed of someother themes,and want to know how to make it work.So I need the resources guven for that theme.Can I get it? Needed Resouces for: Bothoven,Balance the bot  "
Regarding Wi-Fi	"Dear Finalists,   Please refer to the following to connect to internet at IIT Bombay at the final venue (VMCC):   Account Name/UserID = eyrc_2016.wifiPassword = ""BUtnDr"" (without quotes),  "
finals	On what basis will the panel judge us in the finals??  
Crossing the border over air?	"This may sound trivial but just want to confirm... the bot arms and body may cross the black border aerially at certain positions but no part of the robot touches the outer part. This is perfectly fine and does not count as ""crossing"" the border, correct?"
Regarding security check issue of firebird and other accessories	"Sir,     Can you please provide us with any letter or endorsed document, which we can produce  if demanded by Delhi or Mumbai railway station security staff for carrying such electronic items.  Thank you"
Regarding Selection	Sir were we supposed to get any mail regarding selection?
Regarding attendance benefit	Will we be provided any attendance benefit for attending the competition ??
Doubt in the camera position.	"CC#-1536HelloWe want to know the exact position of the overhead camera in the x-y plane. We believe that it will be in the center. In that case the bridge cavities detected are at angle. So, its creating an offset problem while dropping the boulders. If possible, suggest some ways.It would be very helpful if we get an image of the actual arena from the overhead camera.Hope to get a quick response.Thank you."
Memory issue	we are facing serious memory issues. And i think free() function dosent work! Can anyone please help me out on how to free memory?  Theme-BV  
regarding robot tracking	"hello sir, we are not able to track the robot in bridge region properly. In task 5 we had actually placed a red circle on top of the robot and we were using specific contour area to detect this circle.This technique was working fine with bridge1, but in bridge 2 we are facing the problem due to prsence of the blocks..some times it gets detected and sometimes not...could you pls tell us the actual way to track the robot because this contour detection way gives problems sometime and at some configuration of the arena regards   theme-cc"
confusion in start position	"Sir,    The final instruction says that "" Robot will be placed such that the line sensors are ahead of the START mark"".   I just want to confirm whether the line sensors will be placed above the first node or ahead the first node on the black line.   please reply as soon as possible, as it affects our algorithm.   Thank you."
Query regarding certificate and goodies	Every team in our college have received goodies and certificate except our team. Cc-#103
Finals	"   Sir, For the finals: Will we be provided with laptop on which we have to run our code OR we can use our own. (As we need to install SSH in Python) ... for complete automation            Thank you "
Number of finalists	" ?Greetings from e-Yantra!!We have selected 33 teams from the 7 Themes as Finalists. LM: 5 MT: 5 NT: 4 CC: 4 BB: 6 EB: 4 BV: 5Note that the selection is based on the performance of the teams in the Tasks and the Video submission. If a team had a high score in the Tasks but submitted a hard-coded solution in the video, that team may not be selected even though they have a high score. e-Yantra strives to inculcate sincerity and fair practice in its competitions."
How do I detect junction while line tracing on firebird?	I am tracing black line on firebird but the problem is that i am unable to detect a junction. What could be the problem? 
Regarding Selection Letter	Sir when will the selection letter be provided? our clg is asking for the same
task 5 timings	pls tell the best timing of original configuration of task 5 from each theme it is highly needed
Thanks_To_Eyantra	"Team ID - 5093 Qualified - Stage-1     Being a part of eyantra was a wonderful experience . We are first year students , thus were quite nervous in the beginning of the competition but just after task - 1 we realised that it was so well organised that a person having patience can perform his/her best . I personally liked the idea of providing study material regarding each and every task . This was the best part of eyantra as it brings every participant at equal stage. I really liked this competition and hope that next time will make it to IIT Bombay . Being new to micro controller and its interfacing with blender we faced many challenges , in fact this was the most difficult part for us. We request the eyantra team to provide a detailed tutorial on xbee communication with blender so that we can use this concept to link blender with any other micro controller , this could also help us in building interesting and useful projects. Again thanks a lot to the eyantra team for guiding us throughout the competition .            "
Regarding placement of shapes	" Placement 1.        Placement 2.   Will we be give such kind of shape placements?  In placement 1,the robot is bound to miss the node detection and in placement 2 one object is shared between two shapes. "
Regarding E-Yantra goodies ( T-Shirts )	We have received E-Yantra T-Shirts today . But sizes of T-shirts were large . So can those T-shirts be replaced with appropriate sized T-shirts ??
eYRC Finalist	"------------------------This is Final Warning----------------   Dear Finalist,   Team members who have not yet submitted their Bank Account Details, requested to fill and submit their Bank Account Details on portal.   *Each member of team have to fill and submit their Bank Account Details on portal. *Mumbai team members also requested to fill and submit their Bank details on portal.      "
Regarding number of finalists	"Sir, can you please provide the number of finalist teams in launch a modue theme and the cutoff marks for the finalist selection"
Finalists	how many teams are selected for finals from Bothoven theme is it 3 teams or 9 teams ????
Result-Graph	"We scored 564 marks in Original configuration + 11 marks in Code,that amounts to a total of 575. Only 4 teams have scored above 500 in our theme,yet we aren't selected.This thing doesn't seem fair.I think we should have been given a chance looking at our performance in previous tasks (Task-1 & Task-2 :-100% score) and Task-5 score.I request you to reconsider the evaluation once again.   NT#2498"
Reagrding result and graph	How many teams have qualified for the finals? 
Travel details	"Sir ,  It was mentioned in an earlier post that we should submit travel details and bank account details by  tomorrow midnight. But we couldn't find any options for submitting travel details ... Please reply ASAP"
Graph	"Sir,    When will the graph be displayed in task 5 of result section ?  "
Practice arena from 23rd morning?	"Our theme, Launch a Module starts immediately from the morning of 24th so the practice arena would be provided from the morning of 23rd correct? Can we come there at 9 am?"
eYRC Finalist	All finalists team are requested to fill and submit their travel details on portal by tomorrow midnight.   Also each member of team have to fill and submit their Bank Account details ASAP.
CCFinals	" Dear Finalists,   Here are few suggestions which you can choose to follow for your theme: If you are not using perspective transformation then it will be difficult for you to calibrate your robot based upon the arena we will provide to you practice session.  Teams may have to use re-position/restart in case your bot goes haywire, so your code should be ready to handle re-position/restart. Study about the rules regarding these carefully.  Teams are not required to display numbers on LCD, just display on the python console.  Always have the battery sufficiently charged for the final demonstration, or keep extra battery if you have. Remember e-Yantra won't provide you another battery.  Team can use the algorithm described here (click here) for full-proof number detection.  Each team will be provided with a laptop to run the code for the practice session. Laptops will have both linux and windows installed. You may have to install your respective libraries to run your code.  "
Regarding the final results	"Sir, when will the graph for the final result be available on the portal. We have completed the original task and got 1000+ marks. We want to see the cutoff."
Bank details Error	"Sir, When we try to fill up the bank details, we get the following error written on page  Whoops, looks like something went wrong. Team-ID: eYRC-NT#32"
Reagrding Bank  Details	"For reimbursement of travel expenses, Should the participant be the sole bearer of the account. Or can it be joint account?"
Question about bank account details	"Whenever I enter the bank account details, an error page pops up that says ""Whoops looks like something went wrong"". I tried everything i could, but nothing seems to work. What should I do?"
participation certificate	" in the eyantra portal it was mentioned that our team is eligible for letter of participation. We were earlier told that we would get participation certificate. We had not completed the task but submitted the code and a video showing whatever we managed to do. Kindly clarify this at the earliest.  Thanks, Team MT-4007"
Contest ending time on 25th	"Sir/Ma'am,We have to return to our college on 26 due to some reasons and so we need to know around when will the contest end on 25th?We have to book our tickets and wish to know the same.Our route is from New Delhi to Mumbai.Thank you."
Regarding ticket reimbursement.	Whether Rajdhani 3AC tickets would be reimbursed?
is practice arena and final configuration will be same	the practice arena and final configuration of arena @iitb finals wiil be same or different.if not when does the final arena will be disclosed.
Regarding finals results	"Sir, one of our team members is out of station so she couldn't fill the feedback form. But other three team members have given the feedback.Now because of this we are not able to see our results. We also tried getting this issue resolved through helpdesk but no proper response was provided. So I request you to kindly let us know about our results for now and the 4th member will fill the feedback form as soon as she gets back.Below attached is the message we are getting on portal.Team #2094eYRC2016TRACK1_j05h8cn537qp.png"
Certificate	"Sir, our team completed the final task 5 with a decent score of 731/860,probably we were not selected because other teams scored more,but why are we not being provided with certificate of completion and just a certificate of participation?? #LM-567"
Regarding the completing certificate	"Dear sir, When will we be receiving our completion certificate?What will be the mode of delivery?Speed post ?And will we be receiving any goodies along with it?? Thanking u"
Regarding graph display	When will the graph be displayed in task 5 of result section in order to get familiar where we stand now ??
regarding marks for code	What were the total marks for code in the final result?  
Sample Arena provided	"Dear Sir/Ma'am,   We just want to know if we arrive IIT Bombay on 23 March after 11am, whether the sample arena that is proposed to be given for each theme for practice be available for us a day prior to competition i.e. 23 March or not?   Can you please specify the information in brief with the time of availability of practice arena. As our date of the journey will be according to it.   Please reply ASAP as we are feeling restricted to book tickets without your replies.   Regards; Anuj Gupta  (Team Leader) #CC-5347"
Regarding Reporting time	   Exactly at what time the Mumbai teams are supposed to report on 24th March 2017 ?          Team - id:         MT#2288         
Reimbursement of travel expenses	"Dear Sir/Ma'am,   We want to know on what basis you will be giving the reimbursement of 3 tier AC Ticket :   1). If we travel by flight since there are trains with very varied train fare (3tier AC), like Rajdhani, Duronto, Garib Rath?   2).Will you re-imburse the travel made via Rajdhani Express 3 tier AC?   Please reply ASAP.   Regards; Anuj Gupta (Team Leader) #CC-5347"
request for goodies	"sir,it was written that we wl get branded goodies also with the certificates.so are  we really going to get???"
Reporting time	"Dear Sir/Mam,    Exactly at what time the outsider teams are supposed to report on 24th March 2017.   Please reply ASAP, as we have to book the tickets accordingly.   Regards; Anuj Gupta (Team Leader) #CC-5347 "
Regarding final result	Because of Holi vication one member of our team is not able to fill the feedback form and we are not able to make contact with him.  So please tell us the result.   Our Team ID is:  #4256
Participation certificate and goodies	"Sir, unfortunately we couldnt qaulify for finals , but when are we going to get our certificate and goodies?Will they be delivered to our home address?    "
Final result announced	"Hi All,   Your wait is over.   Result of eYRC-2016 announced on portal. Please login on portal to check your result.   Congratulations to teams shortlisted for Finals at IIT Bombay. Make sure you fill the travel details asap. Note that you are also allowed to make improvement in your software/hardware.   We hope it was a good learning experience for all teams. We are constrained by various factors and hence can only call few best performing teams per theme for the finals. We appreciate efforts put in by all teams and have awarded certificates and letter of participation to teams depending on their performance.   Note: Please do not send email regarding any reconsideration. No such request will be entertained.   Wish you all the best for your future endevour."
Comments in final result	"Sir,   Comments section in our result states that Laser pointer is not focused correctly on the arena.We increased the area of focus for our laser so that image processing can be done well,otherwise it wouldn't have been possible to detect it.Please tell me if any marks have been deducted for this reason.If it is,that doesn't seem fair.   NT#2498"
Task5 result	The remarks mentioned by the instructors on the portal for the final task results seems to be disheartening.The task was done with lots of efforts and stating the the video as edited was bit over the top.Our code submission file tagged as corrupted but we found no with the uploaded file.Kindly verify the final uploads.
FINALS	"Sir, For the finals: Q1) Will we be provided with laptop on which we have to run our code OR we can use our own. (As we need to install SSH in Python) ... for complete automation       Thankyou"
Confusion in result	"Sir, We have provided Task 5 code with comments as well as in documented form yet in the result comments it says ""No code documentation whatsoever"".Please check out that. May you also tell me the total marks awarded for code?   #NT-2498"
Doubt in the result	We haven't submitted the video but we have submitted the code. Even then we got 0 marks for code. May I know the reason behind this?Thank You
Query regarding completion certificate	WHen we will receive our completion certificate and goodies
Results	"Hi,    I got an e-mail notifying us about the results but am unable to submit the feedback form. I keep getting  Whoops, looks like something went wrong. What should I do?   Team#1340"
feeback form not proceeding further	        this is after i fill the feedback and click the submit button..
"      Result Announcement, eYRC-2016"	"Dear Teams,   Results have been announced, visit the eYRC Portal for more details.   All the best    Team e-Yantra"
Error while uploading youtube link at eyantra portal	"Dear sir,      we are very sorry for completing the task so late. But i have uploaded the code folder on portal. I m not able to upload the youtube link on portal as it  is showing error. I have mailed the youtube link on helpdesk. Please consider the request for certificate of participation and compleance.\   Team id: MT#2575"
Regarding Letter of participation	"I want to know when we will get letter of participation ( may be goodies ) . Whether it has been sent to colleges or not . Theme of my team was cross_a_crator . We were not selected for stage 2 . But based on performance , we were eligible for letter of participation ."
Results	"Sir,What time is the results?Can u specify exact time?"
Regarding Completion Certificate	"Respected Sir/Ma'am,We unknowingly crossed the submission deadline of 5th March 2017. Till when exactly are we allowed to submit our video and do we remain eligible for the completion certificate?If yes,  then till what date can we submit thet video? Regards, Team 1340"
Regarding the certificate	"As the absolute deadline was march 5, we know we cannot make it to the finals but up to what date can we submit the task 5 video to get a certificate of completion or certificate of participation?"
Regarding submission date for participation certificate	"Respected sir unfortunately we couldn't complete the task on given date, but now we have completed it. Can we submit the solution for certificate of participation?? "
Thank you eyantra!	"The journey of eyrc was a memorable one for all of us. We learnt a lot through this competition and will continue doing so further. We were skeptical about the tasks as we went further ahead in the competition; but the tasks were so given that we build a new concept on the basics of the previous tasks. We want to thank eyantra for providing us with such a great platform for learning. Also we would like to thank the instructors for providing us with all the help that we needed during the entire competition.   P.S.:- Sir, we were unable to perform the task5 due to some reasons. We want to complete the task, but we have our exams from tuesday, 7th March. We have a request:Will you please evaluate the code if submit the code for task 5 to you by 15th March and give us the feedback. We do not want to be awarded any marks for it, we just want to get a feedback on our code.   Team- CC#2951"
Bonus video	Sir we are not sure if we had to include the introduction part in the bonus video.  Was it important to include introduction in bonus video?  We uploaded it in our original configuration?  What should be done
Regarding participation certificate	"Respected Sir,                     We would like to know will we get a participation certificate if we have reached stage 2 irrespective of score if it is less than 70%. Our team id is lm#2447.Please do reply as soon as possible.We also haven't submitted video for stage 2."
penality regarding query	our dealine of 48 hrs  is today 10:30 . can we submit task tommorow with penality or we have to submit it by 12:00 midnight today with penality?
Forgot to merge the introduction part video	we took the introduction video and demonstration video separately and forgot to merge them both in the final submitted video.what can we do
regarding avr bootloader	"Sir, we are having a lot of trouble with the boot loader. We are  facing problems with uploading the code. Also, the port takes many trials to detect. We have tried this with 5 laptops but everytime the same problem occurs. We have worked hard and completed code but with the above mentioned problem, we are having trouble uploading it and testing the bot. We tried to install AVRDude in many laptops but it was also giving errors. We need to change the thresholds repeatedly and hence upload the code again and again which is taking time because of the bootloader problem. We are confident about our code and we will upload it on the portal on time but we are unsure about uploading the video on time. What should we do ? Please help!"
countdown timer	it is mentioned that the portal closes at midnight. But according to the counter shown for us it will close at 3 am.What does this mean?
Video Submission URL Error	"Dear Sir/Mam,  While uploading the final configuration, the upload was cancelled because of a power cut. The URL that we got initially has now changed. We have attached the screenshot of the cancelled Video Upload before scheduled time.     Regards: Anuj Gupta ( Team Leader - CC#5347)"
Error while Video Upload	"Dear Sir/Mam,  While uploading the final configuration, the upload was cancelled because of a power cut. The URL that we got initially has now changed. We have attached the screenshot of the cancelled Video Upload before scheduled time.  Video link redacted Regards: Anuj Gupta ( Team Leader - CC#5347)"
Regarding the penalty on crossing the deadline.	we want to take the option of submitting the video and taking  a penalty. Can you please confirm that we can do that?
Regarding final task	"Hello instructors, There was a problem with our bot due the motors were not running as expected although they were receiving power although our rest of the tasks like detecting laser, working with node mcu along with acknowledgement,check point detection and rgb led  were completed perfectly. We will be working on correcting that glitch too. Is there any chance of us for being at finals?"
adding introduction of absent member	our one teammate can`t be present while recording original demonstration as she is out of city. we have her introduction separately which she has sent us on whatsapp. should we edit the demonstration video and paste her introduction? but editing video is not allowed so  what should we do? plz suggest ........
Query about completion certificate	Please can you mention the criteria for getting the completion certificate for navigate a terrain . We have less time .Please reply asap .
Repositioning of sensor and addition of extra light source	Can we re position the IR LED sensors present on the sides of Firebird?   Can we add an extra light source to get better reading from IR sensors?   It is a request instructors to please reply as soon as possible. Thank you.
IMPORTANT - Deadline related instruction	"Hi,   It is extremely important to keep track of deadline. Today is last day to upload Original/Bonus configuration video. Portal will close today midnight. The system for upload/download is automated so please take a note of following:   We can not give access to configuration file via emailWe can not consider submission made via emailWe can not provide extension in dates for uploading the final taskTask-5 submission also includes code submission with proper commenting - deadline for code submission is also today midnight.If you face any issue while upload/download - take a screenshot. We will consider  genuine request, if you produce screenshot.   It is very unfortunate that few teams did not downloaded the configuration file on time. We feel bad for them, but can not help either. We have to keep rules uniform for all teams.  "
URGENT !!!   :   Regarding The Total Score Formula	"We would like to know how the gradation/evaluation scheme would be for the following scenario     if the robot places 2-3 objects in their designated door area cell and the buzzer is not sounded ,but, the video is stopped      please answer as soon as possible"
Charging problem	"Sir,From morning we are using the robot and the battery is draining .We charged the robot in the evening and it's almost drained out.Now,we are unable to charge at 1AM .As we have only 5hrs to submit the task.We need to do more runs.After heating the battery surface(using external substance) it's not getting charged.Any alternative that we can do now?Please tellREPLY ASAPThanks in advacne"
Mistake in uploaded original configuration	Sorry. We made a mistake. We forgot to show the title slide in the video. LM#4787
hardware_firebird	sir not able to dump the hex file into hte bot shows an 5 sec time out error i have reinstalled the driver and the application once again . Please help asap as we have to submit teh video latest by tomorrow afternoon.
Bonus video	the readme for the bonus video its says introduction video + demonstration video. Do we need to shoot another introduction video stating the same things as in original configuration video. or can we use the same video?  
Regarding the displacement of the objects in the arena	"Respected Sir, If the robot misses to pick the object / while placing the object at the doorarea, if it has not deposited at the right place .can we take the object and place it at the right door area cell? This is a query regarding repositioning(human intervention).     Please reply ASAP  Thanks in advance"
Regarding different outputs of the same code	"Sir, we are facing a problem while running the codes in AVR Studio 4.4 If we modify the existing project files in the e-yantra dvd folder, the code runs fine and the output is as expected. But if we copy the same code in a new project, we are getting a different output. Kindly assist us."
Query regarding xbee	What is the process to suspend the xbee USART function because while USART is in action any other function does not work
stg2_Cross_a_Crater	" Teams dont need to display the detected numbers on LCD, display only on python console. Xbee connected to the laptop should also be in the view along with the laptop for the video "
Start node bot face???	"The bot should face toward the end point or opposite?   As it is  written only ""start node"" in the readme file.."
"      exception 28, 29 Node_MCU"	"Sir, I have written a code for Node_mcu which sometimes runs fine, sometimes throws exception 28 or 29"
Submission of python code	"We have split our python code into many files, and we are importing them internally in each file. For code legibility reasons we want to keep them as separate files, can we just upload these files instead of combining them into one.  There will be a main file that executes every other script"
12V Battery	"Sir, Can we use extra 12V battery to drive the rover."
Regarding two runs in video submission	"Is it mandatory to perform two runs consecutively, as it is not mentioned in rulebook and the readme original config pdf  that we have to compulsory take two attempts?   since we submitted our video with one best possible run as in first time,our run was near perfect and in min. possible time   Reply ASAP"
FirebirdV has stopped working	Sir/maam our bot is giving constant burning smell when we are running the code.And we are ready with everything like embedded C and blender code.Please help us.Please provide us the feasible solution of our problem.Reply asap
hardware pwm	"Sir, Can we use hardware pwm in raspberry Pi "
Does follow means the bot should travel only in forward direction.	"Should we only use laser for just following, "
navigation	Everything is working fine.communication is perfect.coding is done.but we are still confused how to navigate bot by using so bad camera.tried different things but...........................
code submission	"Sir, we accidentally submitted the undocumented code. Please allow us to resubmit the documented code since we are yet to reach our deadline TeamID 4080"
Use of breadboard for connections	"Respected Sir/ Ma'am,Are we allowed to use a breadboard for connecting Raspberry Pi to the motor driver and the Rgb LED? Regards, Team #1340"
LCD print float value	How can I print float value on LCD using the library provided by eYantra ?
Unable to Load the program to robot	We are receiving error:   Serial port timeout set to 5 sec.An error occurred:[Timeout during COM-port read operation!]   We have followed all the solutions given to us by e-Yantra team. Help us asap.
Removal of sensors	Are we allowed to remove front sharp sensor and lcd from firebird robot?
Robot movement (alignment) problem	"We have tried all the possible solutions to correct the alignment of the robot (like PWM velocity control) but the deflection in the robot is random. It does not always deflect to one side, moreover sometimes it may or sometimes it may not deflect. We think there is some problem with the caster wheel.  Please reply ASAP."
final configuration	is the final configuration of arena same for all the teams please reply asap
doubt about remaining paths	"sir, In our rulebook this is given ""PD is the number of remaining Paths (other than Obstacles and Shapes) that are correctly detected and modeled on Blender."" Please clarify that if we have to show all the paths(i.e. all 60 paths) in blender or we could leave other paths if all the objects, obstacles and shapes are detected in less than 60 paths. Please clarify the meaning of ""remaining paths""."
Battery Voltage Calculation	"How is the voltage sensor value computed? After passing it through ADC Conversion function, the example code in the experiments folder computes a float value like this:   BATT_Voltage = ((ADC_Conversion(0)*100)*0.07902) + 0.7; There is no proper documentation in both software or hardware manual explaining this formula used.  "
Different Power Source during Video Recording.	What if our battery has stopped working and we need to use auxiliary power to record the demonstration video ? Is this allowed ? 
Display of numbers identified in the bot's LCD	"Team ID: eYRC-CC#1536HelloAs mentioned in the theme rule book, we have to display the numbers on the boulders identified in the python console and LCD present on the bot. Also, in the demonstration video we have to capture the whole arena including the python console on the system.So, how can we ensure to capture the LCD output clearly without moving the camera and at the same time capturing the arena with the python console?Thank you"
Wrong Countdown Timer	"Dear Sir/Ma'am,  As we downloaded the task 5 original configuration (at 7pm 3 march), the countdown timer started for 24 hours instead of 48 hours and it is still running on the same basis (24 hours) for video submission.  Please correct the problem ASAP and please reply back because we don't get any reply by you almost everytime.  Regards; Anuj Gupta (Team Leader) #CC-5347  anujnit467@gmail.com   "
Wrong timer countdown	" Dear Sir/Ma'am,  As we downloaded the task 5 original configuration (at 7pm 3 march), the countdown timer started for 24 hours instead of 48 hours and it is still running on the same basis (24 hours) for video submission.  Please correct the problem ASAP and please reply back because we don't get any reply by you almost everytime.  Regards; Anuj Gupta (Team Leader) #CC-5347  anujnit467@gmail.com   "
Regarding Original configuration Download	"Sir, Due to poor LAN conditions in our college for a past couple of days, we were not able to download the original configuration. We have all the code ready for task-5. Can you please open the portal again so we can download the original configuration.Thanking you in advance. LM#1317"
How to run 2 python scripts concurrently in pi	How can we run 2 scripts at the same time in pi 
Servo keeps changing the initial position	"Sir, Whenever we disconnect and then again connect the power source to NodeMCU then the servo deflects from its initial position. Please provide the solution to it."
Node MCU not working	All of a sudden our node MCU stopped working. What are the further steps we should follow??
R-pi is not working	"R-pi was connected to the monitor directIy and I was working on the R-pi, running python code but suddenly monitor becomes black.So I turned the power off and then plugged the power back on, the green and red light turned on but it was not booting and its CPU started heating instantly, Need help urgently!.  here is the link for the video to show up the process     https://youtu.be/wxQ3Hm2OxB8   team-id : e-yrc#4022"
Downloading the original configuration	"Dear Sir,               We were 10min late and could not download the original configuration. Can we please get to download it.  We have worked very hard on our project. We do not want any extra time for the task. We will submit it before midnight of 5th March.   Thanking you,  NT#3758"
nodemcu not working	"respected sir, nodemcu was working fine till now but suddenly it stopped working and now it is giving error. have tried all steps given in previous discussions but no positive result. please help. thank you"
