ID,HEADER,TITLE,MAIN_CONTENT,DATE,TAGS
eYRC-2017 final task (Task 4: video and code) results have been announced. 
Please check the portal to know the same. Please note that this decision is final and no requests about the same will be taken into consideration.
 
All the best!!
 
 
#pin",3/10/18,"harvester_bot,planter_bot,transporter_bot"
je1qcj62ybh60s,Pinned,      URGENT: Task 4-Bonus Configuration,"Dear Participants,
 
In bonus configuration, you should follow only the image given in the configuration PDF file itself i.e. for bonus task you should ignore the rulebook rule that Fruits are to be placed in clockwise fashion starting from the Tree side facing e-Yantra logo (just this time, rule stands as it is.)
I hope this is clear. Please let me know if there's any issue.
#pin",2/25/18,harvester_bot
je1njrgzphh59o,Pinned,      Final Task Deadline,"Dear Participants,
 
In bonus configuration, you should follow only the image given in the configuration PDF file itself i.e. for bonus task you should ignore the rulebook rule that Fruits are to be placed in clockwise fashion starting from the Tree side facing e-Yantra logo (just this time, rule stands as it is.)
I hope this is clear. Please let me know if there's any issue.
#pin",2/24/18,harvester_bot
jdy29zcvmf4o6,Pinned,      Final Task,"Dear Participants,
 
The final task of eYRC-2017 i.e. Video and Code Submission is going to be released today midnight. It will be available for download from Midnight, 22nd February, 2018 to Midnight 24th February, 2018.

Read the instructions carefully before downloading the task. Once you download the Original Configuration, a countdown timer of 48 hours will start. You will have 48 hours from time of first download to submit your solution for this Original Configuration without any penalty.
 
We hope that you are ready with your solutions and if not, please work hard to finish the theme implementation. Any requests for extension of deadline will not be entertained.
 
Stay tuned and all the very best!
#pin",2/22/18,"harvester_bot,planter_bot,transporter_bot"
jbg3n8acoae6cn,Pinned,      Rulebook and Task 3,"Dear Participants,
 
Task 3 and Rulebook has been released on the portal.
 
Download the Rulebook under Theme tab on portal and analyse the problem statement.
 
Download the Task 3 from portal and complete the task before 9th January, 2018.
 
Happy Learning!
#pin",12/21/17,"harvester_bot,transporter_bot"
jbbrw9ult7r4b4,Pinned,      Hardware Testing,"Greetings from e-Yantra!
 
Dear Participants,
 
The Hardware Testing folder is available on the portal with all the related documents.
 
Hardware Testing folder can be downloaded from Shipment page once you accept and acknowledge that you have received the shipment from e-Yantra.
 
Kindly go through the video tutorial provided for the same and record similar video of Hardware Testing at your end.
 
Please ensure you read all the documents properly and make the hardware connections properly before switching on the power supply. Read the instructions given for video recording.
 
e-Yantra will not be responsible further if any fault in hardware provided is found after the deadline of 28th December, 2017. If some hardware component is faulty, please inform us as soon as possible to avoid delay in shipment.
 
So, perform the hardware testing and upload the video link on portal as soon as possible. There will be no extension in the deadline for Hardware Testing in any case. 
Disclaimer: This is only for Planter Bot.
 
Any doubts or queries related to it are welcomed.
 
Thank you.
 
Happy Learning!
#pin",12/18/17,planter_bot
jb1vmzavgixmq,Pinned,      Stage 1 Results,"Dear participants,
 
Stage 1 results have been announced.
Please check the results by logging into your e-Yantra portal.
 
PS: If you are trying to reset your portal password, it is not working due to some technical problems. Please be patient and check the same after 5 hours.
 
All the best!!
#pin",12/11/17,"harvester_bot,planter_bot,transporter_bot"
j9s0xjl1d1z71p,Pinned,      Task 1 Released,"Dear Participants,
 
We are glad to announce that Task 1 has been released. Please visit the portal and download the same.
We advise you to start at the earliest to maintain balance between tasks and institute curriculum.
 
Before posting any query, please read the documents provided carefully as every relevant information is provided there.
 
NOTE: 1. Please make sure that you are receiving the correct theme folder for Task 1. If there is any error please let us know.
            2. Those teams who haven't yet uploaded NOC/NDA, we are letting you to participate and complete Task 1. But kindly upload
               your NOC/NDA ASAP.
            3. Only team leader is allowed to Download and Upload the Task 1.
            4. Multiple teams from the same college should have received dissimilar sets for Task 1 (this is applicable for Planter Bot and Harvester Bot themes only).
 
We advise you to avoid sharing of tasks and solutions as everything will be thoroughly checked. Any foul play suspected will directly lead to disqualification.
 
 
Happy learning and All the Best!!!!
 
Thanks and regards,
e-Yantra team
#pin",11/9/17,"harvester_bot,planter_bot,transporter_bot"
j9o59blbkq93ag,Pinned,      Regarding error in NumPy installation,"If you are facing problem in NumPy installation,
Please note the following change with respect to installations instructions(for Windows) you received.
 
As per document you are supposed to use following command:
pip install numpy-1.13.3-2-cp27-none-win32
 
however, this throws error, so, please use following command:
pip install numpy-1.13.3-2-cp27-none-win32.whl  
#pin",11/6/17,"harvester_bot,planter_bot"
j9n1ldoi4b47oj,Pinned,      Task Upload,"Dear participants,
 
Please note that we only require ONE instance of Task output from the team i.e. from team leader's ID.
This does not mean that other team members can not install software but as mentioned above we simply require one submission as you will be working as a team during the course of the competition.
 
All the Best!!!
#pin",11/5/17,"harvester_bot,planter_bot,transporter_bot"
j9i1v8mwlzp4a3,Pinned,      Task 0 Released,"Dear Participants,
 
We are glad to announce that Task 0 has been released. Please visit the portal and download the same.
We advise you to start at the earliest to maintain balance between tasks and institute curriculum.
 
Before posting any query, please read the documents provided carefully as every relevant information is provided there.
 
NOTE: 1. Please make sure that you are receiving the correct theme folder for Task 0. If there is any error please let us know.
            2. We have tested our codes on the software versions mentioned in the documents, thus it is advised that you download the same versions and follow the given instructions properly.
 
Happy learning and All the Best!!!!
 
Thanks and regards,
e-Yantra team
#pin",11/2/17,"harvester_bot,transporter_bot,planter_bot"
j9h1jjt6yol1zl,Pinned,      Important Instructions,"Dear Participants,
 

Greeting from e-yantra!!!

 
This is a discussion forum. Participants can post their technical and non-technical queries on forum. Mentors will get back to you soon.
 
We will also encourage participants to be active on forum and help each other.
 
Please follow general ethics of discussion forum such as:
1. Post your queries under proper theme folders and mention your Team ID while doing so 
2. All are human -- so be humble.
3. Do not use SMS text  -- there is no word limit, so express you self completely and do not use abbreviation for words which do not have one.
4. Have patience and do not spam -- We will try to respond at the earliest. Send a follow-up only if you think its too late
 
Task 0 is going to be released very soon. We advise you to start at the earliest to avoid last minute stuck-ups as deadlines mentioned will not be extended.
 
Note: We are verifying NOC/NDA for the teams who have uploaded the documents. Teams will be notified if any discripancy is found and sufficient time will be provided to rectify the same.
Those who have NOT submitted the NOCs/NDAs, they can upload till 3rd November, 2017 
 
Happy learning! 
 
Thanks & Regards
Team e-Yantra

#pin",11/1/17,"harvester_bot,planter_bot,transporter_bot"
j9cbg5fhu9d1kq,Pinned,      Regarding New task,"Dear Participant,31st October is the last date to submit NOC/NDA. Please make sure you have submitted NOC/NDA before the due date. Task-0 is coming on 1st November.. get geared be ready to dive in !!#pin",10/29/17,"harvester_bot,planter_bot,transporter_bot"
j944hrjq2hy5ui,Pinned,      Search for Teammates!,"    

/* project groups styles */
#teams {
  /*!
 * Bootstrap v2.0.0
 *
 * Copyright 2012 Twitter, Inc
 * Licensed under the Apache License v2.0
 * http://www.apache.org/licenses/LICENSE-2.0
 *
 * Designed and built with all the love in the world @twitter by @mdo and @fat.
 */

}
#teams article,
#teams aside,
#teams details,
#teams figcaption,
#teams figure,
#teams footer,
#teams header,
#teams hgroup,
#teams nav,
#teams section {
  display: block;
}
#teams audio,
#teams canvas,
#teams video {
  display: inline-block;
  *display: inline;
  *zoom: 1;
}
#teams audio:not([controls]) {
  display: none;
}
#teams html {
  font-size: 100%;
  -webkit-text-size-adjust: 100%;
  -ms-text-size-adjust: 100%;
}
#teams a:focus {
  outline: thin dotted;
  outline: 5px auto -webkit-focus-ring-color;
  outline-offset: -2px;
}
#teams a:hover,
#teams a:active {
  outline: 0;
}
#teams sub,
#teams sup {
  position: relative;
  font-size: 75%;
  line-height: 0;
  vertical-align: baseline;
}
#teams sup {
  top: -0.5em;
}
#teams sub {
  bottom: -0.25em;
}
#teams img {
  max-width: 100%;
  height: auto;
  border: 0;
  -ms-interpolation-mode: bicubic;
}
#teams button,
#teams input,
#teams select,
#teams textarea {
  margin: 0;
  font-size: 100%;
  vertical-align: middle;
}
#teams button,
#teams input {
  *overflow: visible;
  line-height: normal;
}
#teams button::-moz-focus-inner,
#teams input::-moz-focus-inner {
  padding: 0;
  border: 0;
}
#teams button,
#teams input[type=""button""],
#teams input[type=""reset""],
#teams input[type=""submit""] {
  cursor: pointer;
  -webkit-appearance: button;
}
#teams input[type=""search""] {
  -webkit-appearance: textfield;
  -webkit-box-sizing: content-box;
  -moz-box-sizing: content-box;
  box-sizing: content-box;
}
#teams input[type=""search""]::-webkit-search-decoration,
#teams input[type=""search""]::-webkit-search-cancel-button {
  -webkit-appearance: none;
}
#teams textarea {
  overflow: auto;
  vertical-align: top;
}
#teams body {
  margin: 0;
  font-family: ""Helvetica Neue"", Helvetica, Arial, sans-serif;
  font-size: 13px;
  line-height: 18px;
  color: #333333;
  background-color: #ffffff;
}
#teams a {
  color: #5d9bcc;
  text-decoration: none;
}
#teams a:hover {
  color: #3575a8;
  text-decoration: underline;
}
#teams .row {
  margin-left: -20px;
  *zoom: 1;
}
#teams .row:before,
#teams .row:after {
  display: table;
  content: """";
}
#teams .row:after {
  clear: both;
}
#teams [class*=""span""] {
  float: left;
  margin-left: 20px;
}
#teams .span1 {
  width: 60px;
}
#teams .span2 {
  width: 140px;
}
#teams .span3 {
  width: 220px;
}
#teams .span4 {
  width: 300px;
}
#teams .span5 {
  width: 380px;
}
#teams .span6 {
  width: 460px;
}
#teams .span7 {
  width: 540px;
}
#teams .span8 {
  width: 620px;
}
#teams .span9 {
  width: 700px;
}
#teams .span10 {
  width: 780px;
}
#teams .span11 {
  width: 860px;
}
#teams .span12,
#teams .container {
  width: 940px;
}
#teams .offset1 {
  margin-left: 100px;
}
#teams .offset2 {
  margin-left: 180px;
}
#teams .offset3 {
  margin-left: 260px;
}
#teams .offset4 {
  margin-left: 340px;
}
#teams .offset5 {
  margin-left: 420px;
}
#teams .offset6 {
  margin-left: 500px;
}
#teams .offset7 {
  margin-left: 580px;
}
#teams .offset8 {
  margin-left: 660px;
}
#teams .offset9 {
  margin-left: 740px;
}
#teams .offset10 {
  margin-left: 820px;
}
#teams .offset11 {
  margin-left: 900px;
}
#teams .row-fluid {
  width: 100%;
  *zoom: 1;
}
#teams .row-fluid:before,
#teams .row-fluid:after {
  display: table;
  content: """";
}
#teams .row-fluid:after {
  clear: both;
}
#teams .row-fluid > [class*=""span""] {
  float: left;
  margin-left: 2.127659574%;
}
#teams .row-fluid > [class*=""span""]:first-child {
  margin-left: 0;
}
#teams .row-fluid .span1 {
  width: 6.382978723%;
}
#teams .row-fluid .span2 {
  width: 14.89361702%;
}
#teams .row-fluid .span3 {
  width: 23.404255317%;
}
#teams .row-fluid .span4 {
  width: 31.914893614%;
}
#teams .row-fluid .span5 {
  width: 40.425531911%;
}
#teams .row-fluid .span6 {
  width: 48.93617020799999%;
}
#teams .row-fluid .span7 {
  width: 57.446808505%;
}
#teams .row-fluid .span8 {
  width: 65.95744680199999%;
}
#teams .row-fluid .span9 {
  width: 74.468085099%;
}
#teams .row-fluid .span10 {
  width: 82.97872339599999%;
}
#teams .row-fluid .span11 {
  width: 91.489361693%;
}
#teams .row-fluid .span12 {
  width: 99.99999998999999%;
}
#teams .container {
  width: 940px;
  margin-left: auto;
  margin-right: auto;
  *zoom: 1;
}
#teams .container:before,
#teams .container:after {
  display: table;
  content: """";
}
#teams .container:after {
  clear: both;
}
#teams .container-fluid {
  padding-left: 20px;
  padding-right: 20px;
  *zoom: 1;
}
#teams .container-fluid:before,
#teams .container-fluid:after {
  display: table;
  content: """";
}
#teams .container-fluid:after {
  clear: both;
}
#teams p {
  margin: 0 0 9px;
  font-family: ""Helvetica Neue"", Helvetica, Arial, sans-serif;
  font-size: 13px;
  line-height: 18px;
}
#teams p small {
  font-size: 11px;
  color: #999999;
}
#teams .lead {
  margin-bottom: 18px;
  font-size: 20px;
  font-weight: 200;
  line-height: 27px;
}
#teams h1,
#teams h2,
#teams h3,
#teams h4,
#teams h5,
#teams h6 {
  margin: 0;
  font-weight: bold;
  color: #333333;
  text-rendering: optimizelegibility;
}
#teams h1 small,
#teams h2 small,
#teams h3 small,
#teams h4 small,
#teams h5 small,
#teams h6 small {
  font-weight: normal;
  color: #999999;
}
#teams h1 {
  font-size: 30px;
  line-height: 36px;
}
#teams h1 small {
  font-size: 18px;
}
#teams h2 {
  font-size: 24px;
  line-height: 36px;
}
#teams h2 small {
  font-size: 18px;
}
#teams h3 {
  line-height: 27px;
  font-size: 18px;
}
#teams h3 small {
  font-size: 14px;
}
#teams h4,
#teams h5,
#teams h6 {
  line-height: 18px;
}
#teams h4 {
  font-size: 14px;
}
#teams h4 small {
  font-size: 12px;
}
#teams h5 {
  font-size: 12px;
}
#teams h6 {
  font-size: 11px;
  color: #999999;
  text-transform: uppercase;
}
#teams .page-header {
  padding-bottom: 17px;
  margin: 18px 0;
  border-bottom: 1px solid #eeeeee;
}
#teams .page-header h1 {
  line-height: 1;
}
#teams ul,
#teams ol {
  padding: 0;
  margin: 0 0 9px 25px;
}
#teams ul ul,
#teams ul ol,
#teams ol ol,
#teams ol ul {
  margin-bottom: 0;
}
#teams ul {
  list-style: disc;
}
#teams ol {
  list-style: decimal;
}
#teams li {
  line-height: 18px;
}
#teams ul.unstyled {
  margin-left: 0;
  list-style: none;
}
#teams dl {
  margin-bottom: 18px;
}
#teams dt,
#teams dd {
  line-height: 18px;
}
#teams dt {
  font-weight: bold;
}
#teams dd {
  margin-left: 9px;
}
#teams hr {
  margin: 18px 0;
  border: 0;
  border-top: 1px solid #e5e5e5;
  border-bottom: 1px solid #ffffff;
}
#teams strong {
  font-weight: bold;
}
#teams em {
  font-style: italic;
}
#teams .muted {
  color: #999999;
}
#teams abbr {
  font-size: 90%;
  text-transform: uppercase;
  border-bottom: 1px dotted #ddd;
  cursor: help;
}
#teams blockquote {
  padding: 0 0 0 15px;
  margin: 0 0 18px;
  border-left: 5px solid #eeeeee;
}
#teams blockquote p {
  margin-bottom: 0;
  font-size: 16px;
  font-weight: 300;
  line-height: 22.5px;
}
#teams blockquote small {
  display: block;
  line-height: 18px;
  color: #999999;
}
#teams blockquote small:before {
  content: '\2014 \00A0';
}
#teams blockquote.pull-right {
  float: right;
  padding-left: 0;
  padding-right: 15px;
  border-left: 0;
  border-right: 5px solid #eeeeee;
}
#teams blockquote.pull-right p,
#teams blockquote.pull-right small {
  text-align: right;
}
#teams q:before,
#teams q:after,
#teams blockquote:before,
#teams blockquote:after {
  content: """";
}
#teams address {
  display: block;
  margin-bottom: 18px;
  line-height: 18px;
  font-style: normal;
}
#teams small {
  font-size: 100%;
}
#teams cite {
  font-style: normal;
}
#teams code,
#teams pre {
  padding: 0 3px 2px;
  font-family: Menlo, Monaco, ""Courier New"", monospace;
  font-size: 12px;
  color: #333333;
  -webkit-border-radius: 3px;
  -moz-border-radius: 3px;
  border-radius: 3px;
}
#teams code {
  padding: 3px 4px;
  color: #d14;
  background-color: #f7f7f9;
  border: 1px solid #e1e1e8;
}
#teams pre {
  display: block;
  padding: 8.5px;
  margin: 0 0 9px;
  font-size: 12px;
  line-height: 18px;
  background-color: #f5f5f5;
  border: 1px solid #ccc;
  border: 1px solid rgba(0, 0, 0, 0.15);
  -webkit-border-radius: 4px;
  -moz-border-radius: 4px;
  border-radius: 4px;
  white-space: pre;
  white-space: pre-wrap;
  word-break: break-all;
}
#teams pre.prettyprint {
  margin-bottom: 18px;
}
#teams pre code {
  padding: 0;
  background-color: transparent;
}
#teams form {
  margin: 0 0 18px;
}
#teams fieldset {
  padding: 0;
  margin: 0;
  border: 0;
}
#teams legend {
  display: block;
  width: 100%;
  padding: 0;
  margin-bottom: 27px;
  font-size: 19.5px;
  line-height: 36px;
  color: #333333;
  border: 0;
  border-bottom: 1px solid #eee;
}
#teams label,
#teams input,
#teams button,
#teams select,
#teams textarea {
  font-family: ""Helvetica Neue"", Helvetica, Arial, sans-serif;
  font-size: 13px;
  font-weight: normal;
  line-height: 18px;
}
#teams label {
  display: block;
  margin-bottom: 5px;
  color: #333333;
}
#teams input,
#teams textarea,
#teams select,
#teams .uneditable-input {
  display: inline-block;
  width: 210px;
  height: 18px;
  padding: 4px;
  margin-bottom: 9px;
  font-size: 13px;
  line-height: 18px;
  color: #555555;
  border: 1px solid #ccc;
  -webkit-border-radius: 3px;
  -moz-border-radius: 3px;
  border-radius: 3px;
}
#teams .uneditable-textarea {
  width: auto;
  height: auto;
}
#teams label input,
#teams label textarea,
#teams label select {
  display: block;
}
#teams input[type=""image""],
#teams input[type=""checkbox""],
#teams input[type=""radio""] {
  width: auto;
  height: auto;
  padding: 0;
  margin: 3px 0;
  *margin-top: 0;
  /* IE7 */

  line-height: normal;
  border: 0;
  cursor: pointer;
  -webkit-border-radius: 0;
  -moz-border-radius: 0;
  border-radius: 0;
}
#teams input[type=""file""] {
  padding: initial;
  line-height: initial;
  border: initial;
  background-color: #ffffff;
  background-color: initial;
  -webkit-box-shadow: none;
  -moz-box-shadow: none;
  box-shadow: none;
}
#teams input[type=""button""],
#teams input[type=""reset""],
#teams input[type=""submit""] {
  width: auto;
  height: auto;
}
#teams select,
#teams input[type=""file""] {
  height: 28px;
  /* In IE7, the height of the select element cannot be changed by height, only font-size */

  *margin-top: 4px;
  /* For IE7, add top margin to align select with labels */

  line-height: 28px;
}
#teams select {
  width: 220px;
  background-color: #ffffff;
}
#teams select[multiple],
#teams select[size] {
  height: auto;
}
#teams input[type=""image""] {
  -webkit-box-shadow: none;
  -moz-box-shadow: none;
  box-shadow: none;
}
#teams textarea {
  height: auto;
}
#teams input[type=""hidden""] {
  display: none;
}
#teams .radio,
#teams .checkbox {
  padding-left: 18px;
}
#teams .radio input[type=""radio""],
#teams .checkbox input[type=""checkbox""] {
  float: left;
  margin-left: -18px;
}
#teams .controls > .radio:first-child,
#teams .controls > .checkbox:first-child {
  padding-top: 5px;
}
#teams .radio.inline,
#teams .checkbox.inline {
  display: inline-block;
  margin-bottom: 0;
  vertical-align: middle;
}
#teams .radio.inline + .radio.inline,
#teams .checkbox.inline + .checkbox.inline {
  margin-left: 10px;
}
#teams .controls > .radio.inline:first-child,
#teams .controls > .checkbox.inline:first-child {
  padding-top: 0;
}
#teams input,
#teams textarea {
  -webkit-box-shadow: inset 0 1px 1px rgba(0, 0, 0, 0.075);
  -moz-box-shadow: inset 0 1px 1px rgba(0, 0, 0, 0.075);
  box-shadow: inset 0 1px 1px rgba(0, 0, 0, 0.075);
  -webkit-transition: border linear 0.2s, box-shadow linear 0.2s;
  -moz-transition: border linear 0.2s, box-shadow linear 0.2s;
  -ms-transition: border linear 0.2s, box-shadow linear 0.2s;
  -o-transition: border linear 0.2s, box-shadow linear 0.2s;
  transition: border linear 0.2s, box-shadow linear 0.2s;
}
#teams input:focus,
#teams textarea:focus {
  border-color: rgba(82, 168, 236, 0.8);
  -webkit-box-shadow: inset 0 1px 1px rgba(0, 0, 0, 0.075), 0 0 8px rgba(82, 168, 236, 0.6);
  -moz-box-shadow: inset 0 1px 1px rgba(0, 0, 0, 0.075), 0 0 8px rgba(82, 168, 236, 0.6);
  box-shadow: inset 0 1px 1px rgba(0, 0, 0, 0.075), 0 0 8px rgba(82, 168, 236, 0.6);
  outline: 0;
  outline: thin dotted \9;
  /* IE6-8 */

}
#teams input[type=""file""]:focus,
#teams input[type=""checkbox""]:focus,
#teams select:focus {
  -webkit-box-shadow: none;
  -moz-box-shadow: none;
  box-shadow: none;
  outline: thin dotted;
  outline: 5px auto -webkit-focus-ring-color;
  outline-offset: -2px;
}
#teams .input-mini {
  width: 60px;
}
#teams .input-small {
  width: 90px;
}
#teams .input-medium {
  width: 150px;
}
#teams .input-large {
  width: 210px;
}
#teams .input-xlarge {
  width: 270px;
}
#teams .input-xxlarge {
  width: 530px;
}
#teams input[class*=""span""],
#teams select[class*=""span""],
#teams textarea[class*=""span""],
#teams .uneditable-input {
  float: none;
  margin-left: 0;
}
#teams input.span1,
#teams textarea.span1,
#teams .uneditable-input.span1 {
  width: 50px;
}
#teams input.span2,
#teams textarea.span2,
#teams .uneditable-input.span2 {
  width: 130px;
}
#teams input.span3,
#teams textarea.span3,
#teams .uneditable-input.span3 {
  width: 210px;
}
#teams input.span4,
#teams textarea.span4,
#teams .uneditable-input.span4 {
  width: 290px;
}
#teams input.span5,
#teams textarea.span5,
#teams .uneditable-input.span5 {
  width: 370px;
}
#teams input.span6,
#teams textarea.span6,
#teams .uneditable-input.span6 {
  width: 450px;
}
#teams input.span7,
#teams textarea.span7,
#teams .uneditable-input.span7 {
  width: 530px;
}
#teams input.span8,
#teams textarea.span8,
#teams .uneditable-input.span8 {
  width: 610px;
}
#teams input.span9,
#teams textarea.span9,
#teams .uneditable-input.span9 {
  width: 690px;
}
#teams input.span10,
#teams textarea.span10,
#teams .uneditable-input.span10 {
  width: 770px;
}
#teams input.span11,
#teams textarea.span11,
#teams .uneditable-input.span11 {
  width: 850px;
}
#teams input.span12,
#teams textarea.span12,
#teams .uneditable-input.span12 {
  width: 930px;
}
#teams input[disabled],
#teams select[disabled],
#teams textarea[disabled],
#teams input[readonly],
#teams select[readonly],
#teams textarea[readonly] {
  background-color: #f5f5f5;
  border-color: #ddd;
  cursor: not-allowed;
}
#teams .control-group.warning > label,
#teams .control-group.warning .help-block,
#teams .control-group.warning .help-inline {
  color: #c09853;
}
#teams .control-group.warning input,
#teams .control-group.warning select,
#teams .control-group.warning textarea {
  color: #c09853;
  border-color: #c09853;
}
#teams .control-group.warning input:focus,
#teams .control-group.warning select:focus,
#teams .control-group.warning textarea:focus {
  border-color: #a47e3c;
  -webkit-box-shadow: 0 0 6px #dbc59e;
  -moz-box-shadow: 0 0 6px #dbc59e;
  box-shadow: 0 0 6px #dbc59e;
}
#teams .control-group.warning .input-prepend .add-on,
#teams .control-group.warning .input-append .add-on {
  color: #c09853;
  background-color: #fcf8e3;
  border-color: #c09853;
}
#teams .control-group.error > label,
#teams .control-group.error .help-block,
#teams .control-group.error .help-inline {
  color: #b94a48;
}
#teams .control-group.error input,
#teams .control-group.error select,
#teams .control-group.error textarea {
  color: #b94a48;
  border-color: #b94a48;
}
#teams .control-group.error input:focus,
#teams .control-group.error select:focus,
#teams .control-group.error textarea:focus {
  border-color: #953b39;
  -webkit-box-shadow: 0 0 6px #d59392;
  -moz-box-shadow: 0 0 6px #d59392;
  box-shadow: 0 0 6px #d59392;
}
#teams .control-group.error .input-prepend .add-on,
#teams .control-group.error .input-append .add-on {
  color: #b94a48;
  background-color: #f2dede;
  border-color: #b94a48;
}
#teams .control-group.success > label,
#teams .control-group.success .help-block,
#teams .control-group.success .help-inline {
  color: #468847;
}
#teams .control-group.success input,
#teams .control-group.success select,
#teams .control-group.success textarea {
  color: #468847;
  border-color: #468847;
}
#teams .control-group.success input:focus,
#teams .control-group.success select:focus,
#teams .control-group.success textarea:focus {
  border-color: #356635;
  -webkit-box-shadow: 0 0 6px #7aba7b;
  -moz-box-shadow: 0 0 6px #7aba7b;
  box-shadow: 0 0 6px #7aba7b;
}
#teams .control-group.success .input-prepend .add-on,
#teams .control-group.success .input-append .add-on {
  color: #468847;
  background-color: #dff0d8;
  border-color: #468847;
}
#teams input:focus:required:invalid,
#teams textarea:focus:required:invalid,
#teams select:focus:required:invalid {
  color: #b94a48;
  border-color: #ee5f5b;
}
#teams input:focus:required:invalid:focus,
#teams textarea:focus:required:invalid:focus,
#teams select:focus:required:invalid:focus {
  border-color: #e9322d;
  -webkit-box-shadow: 0 0 6px #f8b9b7;
  -moz-box-shadow: 0 0 6px #f8b9b7;
  box-shadow: 0 0 6px #f8b9b7;
}
#teams .form-actions {
  padding: 17px 20px 18px;
  margin-top: 18px;
  margin-bottom: 18px;
  background-color: #f5f5f5;
  border-top: 1px solid #ddd;
}
#teams .uneditable-input {
  display: block;
  background-color: #ffffff;
  border-color: #eee;
  -webkit-box-shadow: inset 0 1px 2px rgba(0, 0, 0, 0.025);
  -moz-box-shadow: inset 0 1px 2px rgba(0, 0, 0, 0.025);
  box-shadow: inset 0 1px 2px rgba(0, 0, 0, 0.025);
  cursor: not-allowed;
}
#teams :-moz-placeholder {
  color: #999999;
}
#teams ::-webkit-input-placeholder {
  color: #999999;
}
#teams .help-block {
  margin-top: 5px;
  margin-bottom: 0;
  color: #999999;
}
#teams .help-inline {
  display: inline-block;
  *display: inline;
  /* IE7 inline-block hack */

  *zoom: 1;
  margin-bottom: 9px;
  vertical-align: middle;
  padding-left: 5px;
}
#teams .input-prepend,
#teams .input-append {
  margin-bottom: 5px;
  *zoom: 1;
}
#teams .input-prepend:before,
#teams .input-append:before,
#teams .input-prepend:after,
#teams .input-append:after {
  display: table;
  content: """";
}
#teams .input-prepend:after,
#teams .input-append:after {
  clear: both;
}
#teams .input-prepend input,
#teams .input-append input,
#teams .input-prepend .uneditable-input,
#teams .input-append .uneditable-input {
  -webkit-border-radius: 0 3px 3px 0;
  -moz-border-radius: 0 3px 3px 0;
  border-radius: 0 3px 3px 0;
}
#teams .input-prepend input:focus,
#teams .input-append input:focus,
#teams .input-prepend .uneditable-input:focus,
#teams .input-append .uneditable-input:focus {
  position: relative;
  z-index: 2;
}
#teams .input-prepend .uneditable-input,
#teams .input-append .uneditable-input {
  border-left-color: #ccc;
}
#teams .input-prepend .add-on,
#teams .input-append .add-on {
  float: left;
  display: block;
  width: auto;
  min-width: 16px;
  height: 18px;
  margin-right: -1px;
  padding: 4px 5px;
  font-weight: normal;
  line-height: 18px;
  color: #999999;
  text-align: center;
  text-shadow: 0 1px 0 #ffffff;
  background-color: #f5f5f5;
  border: 1px solid #ccc;
  -webkit-border-radius: 3px 0 0 3px;
  -moz-border-radius: 3px 0 0 3px;
  border-radius: 3px 0 0 3px;
}
#teams .input-prepend .active,
#teams .input-append .active {
  background-color: #a9dba9;
  border-color: #46a546;
}
