QUERY_ID	HEADER	TITLE	MAIN_CONTENT	DATE	TAGS
j9s0xjl1d1z71p	Pinned	Task 1 Released	Dear Participants,  We are glad to announce thatTask 1 has been released. Please visit the portal and download the same. We advise you to start at the earliest to maintain balance between tasks and institute curriculum.  Before posting any query, please read the documents provided carefully as every relevant information is provided there.  NOTE:1. Please make sure that you are receiving the correct theme folder for Task 1. If there is any error please let us know.       2. Those teams who haven't yet uploadedNOC/NDA, we are letting you to participate and completeTask 1.But kindly upload  yourNOC/NDA ASAP.      3.Onlyteam leader is allowed to Download and Upload the Task 1.       4. Multiple teams from the same collegeshould have received dissimilar sets for Task 1 (this is applicable for Planter Bot and Harvester Bot themes only).  We advise you to avoid sharing of tasks and solutions as everything will be thoroughly checked. Any foul play suspected will directly lead to disqualification.   Happy learning and All the Best!!!!  Thanks and regards, e-Yantra team #pin	11-09-2017	harvester_bot,planter_bot,transporter_bot
j9o59blbkq93ag	Pinned	Regarding error in NumPy installation	If you are facing problem in NumPy installation, Please note the following change with respect to installations instructions(for Windows) you received.  As per document you are supposed to use following command: pip install numpy-1.13.3-2-cp27-none-win32  however, this throws error, so, please use following command: pip install numpy-1.13.3-2-cp27-none-win32.whl #pin	11-06-2017	harvester_bot,planter_bot
j9n1ldoi4b47oj	Pinned	Task Upload	Dear participants,  Please note that we only require ONEinstance of Task output from the team i.e. from team leader's ID. This does not mean that other team members can not install software but as mentioned above we simply require one submission as you will be working as a team during the course of the competition.  All the Best!!! #pin	11-05-2017	harvester_bot,planter_bot,transporter_bot
j9i1v8mwlzp4a3	Pinned	Task 0 Released	Dear Participants,  We are glad to announce that Task 0 has been released. Please visit the portal and download the same. We advise you to start at the earliest to maintain balance between tasks and institute curriculum.  Before posting any query, please read the documents provided carefully as every relevant information is provided there.  NOTE:1. Please make sure that you are receiving the correct theme folder for Task 0. If there is any error please let us know.       2. We have tested our codes on the software versions mentioned in the documents, thus it is advised that you download the same versions and follow the given instructions properly.  Happy learning and All the Best!!!!  Thanks and regards, e-Yantra team #pin	11-02-2017	harvester_bot,transporter_bot,planter_bot
j9h1jjt6yol1zl	Pinned	Important Instructions	Dear Participants,   Greeting from e-yantra!!!   This is a discussion forum. Participants can post their technical and non-technical queries on forum. Mentors will get back to you soon.  We will also encourage participantsto be active on forum and help each other.  Please follow general ethics of discussion forum such as: 1. Post your queries under proper theme folders andmention your Team IDwhile doing so 2. All are human -- so be humble. 3. Do not use SMS text -- there is noword limit, so express you self completely anddo not useabbreviation for words which do not have one. 4. Have patience and do not spam -- We will try to respond at the earliest. Send a follow-up only if you think its too late  Task 0 is going to be released very soon. We advise you to start at the earliest to avoid last minute stuck-ups as deadlines mentioned will not be extended.  Note: We are verifying NOC/NDA for the teams who have uploaded the documents. Teams will be notified if any discripancy is found and sufficient time will be provided to rectify the same. Those who haveNOTsubmitted the NOCs/NDAs, they can upload till3rdNovember,2017  Happy learning!  Thanks & Regards Team e-Yantra  #pin	11-01-2017	harvester_bot,planter_bot,transporter_bot
j9cbg5fhu9d1kq	Pinned	Regarding New task	Dear Participant,31st October is the last date to submit NOC/NDA. Please make sure you have submitted NOC/NDA before the due date. Task-0 is coming on 1st November.. get geared be ready to dive in !!#pin	10-29-17	harvester_bot,planter_bot,transporter_bot
j944hrjq2hy5ui	Pinned	Search for Teammates!		10-23-17	
j9o4qhs5spq59c	Favorites	Important: opencvver error	"Hi all,   Please add the following line above line 90 in the python code checkversion.py file: opencvver = """"  This should help.  With regards, e-Yantra team "	11-06-2017	harvester_bot,planter_bot
jlfbcgtqtds2ln	Week 8/26 - 9/1	urgent	Hi ,I partcipate in eyrc 2017 but I didn't got my certificate. So I want to know how I get to know it's merit or just participation certificate. We got to the last round but got eliminated in it.	8-29-18	transporter_bot
jemgr4j7xxj4lp	Week 3/11 - 3/17	about accommodation and help	is it possible for the teams to get accommodation in campus till 27 march so that they can see Mumbai because we don't go Mumbai frequently and we really want to visit some places , if any additional charges needs to be paid we will pay it.if its not possible in the campus can you please arrange something outside  of the campus please help us. and inform us as early as possible because we have to book ticket for return journey as well.thank you.	03-11-2018	harvester_bot,nex_robotics
jedrh3xqt2l1jm	Week 3/4 - 3/10	Scoring of Task 4	Will you give us score totally based on video or You will consider code as well. Since Due to Lower quality of video Last LED blinking color are not properly captured. But We have mentioned all the working thinks correctly in code.	03-05-2018	planter_bot
je7fpjcgvxy4hj	Week 2/25 - 3/3	Regarding task submission for certificate	Sir, we got a mail where it is mention that we need to submit our video & code by tomorrow for getting certificate. Sir we got this mail at night & tomorrow is holi in West Bengal & our collage will be close tomorrow & our flex & robot is in collage, so sir in that case how can we do our video. Sir we do a lot of hard work for this project & we really want the certificate. Sir may you kindly tell us what to do now?	03-01-2018	harvester_bot
je52kyxdtml55r	Week 2/25 - 3/3	Obscure rules regarding submission	"The portal says, "" 4. Your ""Original Deadline"" = Time of Original Configuration Download + 48 hours. 5. For 2 days after the original deadline, you will incur 15% penalty per day.""   According to point 4, for a team that downloaded the task on 24th, the ""Original Deadline"" will fall on 26th of February. So, 2 days after 26th is 28th. It is only fair if e-Yantra lets us submit the task, as the rules have been mentioned wrongly on the portal."	2-27-18	harvester_bot
je3y6aw9jun4xq	Week 2/25 - 3/3	Zone indicator before Inverted Plain	Team ID: 2778 Is it required/mandatory to stop the robot at last zone indicator ( the one just before Inverted Plain) ? If ' Yes ', then is there some specific minimum duration of halt ? 	2-26-18	planter_bot
je3tv0w06es6hr	Week 2/25 - 3/3	Query concerning robot's position at Shed	     Team ID: 2778 Theme: Planter Bot  In Read Me.pdf provided for ' original configuration ' in Task 4 it is clearly stated that at the Nursery robot should be placed in cell R3 however, nothing has been specified for the robot's stopping position at the Shed.  So, can you please state the cell coordinates for Shed similarly ? What will be castor wheel and motor wheels position in Shed ???       	2-26-18	planter_bot
je388x128rqep	Week 2/25 - 3/3	Ending the run	Our bot ended the run with its caster wheel in CELL Q16 (marked as shed according to rule book),but half the body of the bot was still on the inverted plane. is it ok?,will it cause deduction of 200 points allotted for inverted plane? please reply ASAP  Team id:PB#1108 theme :planter bot	2-26-18	planter_bot,Planter_Bot
je32rf6p13511i	Week 2/25 - 3/3	Unable to see demo video	we did not watch the demo video and now its not there in the portal . Please help!!!	2-25-18	transporter_bot
je32hq5k59c4vc	Week 2/25 - 3/3	about task4 document folder	what are all the documents to be present in the document folder is it just the .py code or what else 	2-25-18	planter_bot
je32btiikbr3wy	Week 2/25 - 3/3	frequency	how to change the frequency for position encoder in atmel studio pls help.	2-25-18	harvester_bot,planter_bot,transporter_bot
je2z7q3pgno4p6	Week 2/25 - 3/3	regarding robots movement	our robot is stopping in the middle of the running code at random points. could you please help us to resolve it.	2-25-18	harvester_bot,nex_robotics
je2r7qmcela2q6	Week 2/25 - 3/3	Regarding printing of Title_slide	Sir, as today is Sunday all the shops in our locality are closed & we are not able to print Title_slide. So can we show Title slide in laptop during the video.	2-25-18	harvester_bot
je2ldyb55al64r	Week 2/25 - 3/3	IMPORTANT QUERY	Would it be valid if we shoot the introduction part and demonstration part separately and then merge them together? Or this is not allowed? Reply ASAP. ( We would like to mention that there would be no merges or any kind of editing in the demonstration part itself. )  Regards, TeamID: PB#931	2-25-18	planter_bot
je2ef9hlkaa2qn	Week 2/25 - 3/3	Regarding introduction video	Currently we are having holidays in our college so all our members cannot be together for the video.So can we merge introduction by all team members separately? Also can only a single member(may or may not be leader) hold the Title_slide.docx in the starting rather than the whole team?	2-25-18	planter_bot
je2ddwlg1vv4lk	Week 2/25 - 3/3	Regarding Rask 4	Dear all,The technical issue on the portal is resolved now. Please check the portal and continue with Task 4	2-25-18	harvester_bot,planter_bot,transporter_bot
je2copbaqzi4yc	Week 2/25 - 3/3	About final video	We have shot the introduction and a one shot demonstration video separately. Can we merge them or we have to make a one shot video of both introduction and demonstration?	2-25-18	planter_bot
je1zw2jp7ix7cm	Week 2/25 - 3/3	URGENT	"We believe there is a technical glitch in the portal Task 4 window. We are left with more than a day left and the options for uploading the video and documented code have been wiped out. and it shows ""competition has been closed"". Please help us as we have to upload the original configuration ASAP.  Regards, Team ID PB#931"	2-25-18	planter_bot
je1x93i1b9v5a1	Week 2/25 - 3/3	Task 4: Demo Video and Code Submission	"original configuration: competition has been closed! we were ready with the demo video and code and were about to submit it, but it is showing as ""competition has been closed""plz resolve the issue fasteYRC2017Track1_je1x2ilju439.png"	2-25-18	planter_bot
je1shfmxy0z148	Week 2/25 - 3/3	Regarding Final Video	Sir, We have shot a video that displays of the arena and the laptop screen at a time but the overlay on plantation is not perfectly visible . if we need to show the overlay properly then we cant show the arena fully and we have to show the plantation image and arena separately So what should we do?	2-25-18	planter_bot
je1sgx4wp5eqy	Week 2/25 - 3/3	Arena printing on opposite side of flex (To cut off glossiness on the flex)	Due to the glossiness on the flex we are facing a lot of problem especially in the colour detection of colour markers.So can we get our Arena printed on the opposite side of the flex for the final submission of the task, because this will cut off the glossines on the flex. Its quite urgent, please reply ASAP.	2-25-18	planter_bot
je1s6kidi0z5p2	Week 2/25 - 3/3	Team cordination	Is your team having coordination issues during the competition? yesno  SubmitYou have not yet voted.Revoting is not allowed. Select your vote and click submit to register your vote.Your name will not be visible to anyone.	2-25-18	planter_bot,polls
je1puumir6i79d	Week 2/25 - 3/3	Problem with uploading		2-25-18	planter_bot
je1p1oeahlxnq	Week 2/18 - 2/24	Final Video Submission	As all the team members are at home due to holi holidays, can only one member introduce the task or can we prepare individual introductions (each less than 30 seconds) and then combine them all into one ?	2-24-18	planter_bot
je1otxt4uyt2lo	Week 2/18 - 2/24	regarding the final video	Is it mandatory for all the team members to be present in the final video ? Two of our team members are out of town. Is it okay if only two are present in the video?  team id: #1541	2-24-18	planter_bot
je1mwiw0ruu57	Week 2/18 - 2/24	picamera not working	The picamera suddenly stopped working. Stating that picamera is not enabled and cannot import picamera, failed to connect out of resources. It was working well in the morning and was able to follow the line efficiently but suddenly in the evening it stopped working. I tried to enable and disable the camera using sudo raspi config and reboot it many a times but went into vain. So can we submit only the documented code  and a the two videos respectively stating the disfunctioning of the picamera ?Team Id:pb#1254	2-24-18	planter_bot
je1lby141ri521	Week 2/18 - 2/24	changing speed of the robot for bonus configuration	Can we change the speed of the robot for bonus configurations? 	2-24-18	planter_bot
je1hgbnlp29714	Week 2/18 - 2/24	Picamera error	IMG_20180224_200908.jpgI tried to capture two images. One for line following and other for capturing images. I wasn't getting error in the morning but I'm getting error now. What m I to do. Please help.	2-24-18	planter_bot
je1gj3d6mk57f8	Week 2/18 - 2/24	Sd card got damaged	Sir when we were running our bot, suddenly our sd card stopped working and when we tried to connect sd card with computer it is showing only 2MB space. Due to which we lost many hours, but we are trying our best to come back(we have bought a new sd card for now). It will be glad if you can provide any kind of help. Thank you  Team Id: #1704	2-24-18	planter_bot
je17vxin62w3l9	Week 2/18 - 2/24	white line sensor not working	Hello sir/mamSuddenly one of a white line sensor stop transmitting light although it is giving reading on the display but always greater than 100Kindly suggest anything	2-24-18	harvester_bot,nex_robotics
je14wy1u7vruq	Week 2/18 - 2/24	detection of vertex numbers of color markers	we can't detect the vertex nos of color markers using this formula approx = cv2.approxPolyDP(i,0.01*cv2.arcLength(i,True),True) pleas help us ...... PB#109   	2-24-18	planter_bot
je0zvikopwr3b6	Week 2/18 - 2/24	Code submission	When do we have to submit the code. On portal it is given that within 48 hours of download we have to submit the video and what about code? It is given until 26th that we can submit the code.please reply as we have only 12 hours left	2-24-18	planter_bot
je0tjfmde9d4d1	Week 2/18 - 2/24	Float Division Error	"Sir we are trying to find center of color marker using moments, but continuously we are getting this ""FLOAT DIVISION BY ZERO"" error, we are not getting problem. Help us as soon as possible. Thank You in advance. "	2-24-18	planter_bot
je0g97e1dn55l5	Week 2/18 - 2/24	Regarding reposition rules	How many repositions are we allowed to do while submitting task 4 video? And please specify the penalty if?	2-24-18	planter_bot
je09rqkp6or5km	Week 2/18 - 2/24	evaluation of final video	Does the scoring criteria given in the rulebook will be used for evaluating final video or any other scoring criteria will be used? if we are traversing whole arena with detection and counting of CM's and not able to detect shape and thus not able to do overlaywill our score will go negative as penalty is too much	2-23-18	planter_bot
je060jgbqg25nn	Week 2/18 - 2/24	ZI Doubt	If there are 4 ZI (including the null ZI at the IPP) then we should blend on PZ A,B,C leaving D . Am I right ? Or is there any other rule for the same	2-23-18	planter_bot
jdnzoe0zkar270	Week 2/11 - 2/17	Problem Regarding Plantation Zone 4	Respected Sir/Ma'am The PZ-4 in the plantation image is small and hence is posing a little problem with overlay images with landscape orientation. Since the aspect ratio of some of the images is large, we are not able to downsize them without losing the visibility and we are having to compromise by skewing the aspect ratio to provide proper visibility. It would be really helpful if you could give us an insight of how could this problem be solved. I am also attaching an image of my understanding of PZ-4, it may be possible that i am mistaken. 	2-15-18	planter_bot
jdnyosy0ieg27	Week 2/11 - 2/17	Improving processing speed of frames	Respected Sir/Ma'am, We have been trying to make the processing of frames faster and more efficient. We are already able to capture frames very smoothly. We would be really grateful if you could point us to some resources or give us a slight hint as to what technique could we use to improve processing speed. We feel we're missing something here that could connect everything else we have implemented and we would be really thankful for your guidance in this matter. Thanking You, Team PB#4097 	2-15-18	planter_bot,Planter_Bot
jdnyg598yyzdw	Week 2/11 - 2/17	Increasing FPS of RPi	If we overclock our board to 1GHz, will that require an extra cooling system? We tried breaking frames into threads but that didn't work.	2-15-18	planter_bot
jdnhjjlgc496pb	Week 2/11 - 2/17	Battery to power Robot	Transporter botTeam ID #3322Here I want to know that can we useanother battery other than that u have provided to us for powering to FirebirdV because we are using two other actuators other than servo for gripping ?	2-15-18	transporter_bot
jdk58hv5pju5o4	Week 2/11 - 2/17	Change in picking mechanism	We have changed our picking mechanism from the one we proposed in the Task 3 document. I hope it isnt a problem. Team ID-1558	02-12-2018	transporter_bot
jdk1k0up9t51z0	Week 2/11 - 2/17	Memory Card	Can we use a 16 GB class 10 memory card instead of class 4??	02-12-2018	planter_bot
jdjxzkmb4lh7ii	Week 2/11 - 2/17	Help with a remark provided for the progress video	Respected Sir/Ma'am We got a remark for the progress video stating the need to improve the execution speed of the code. We would be really grateful to you if you could please help us know about it better. Does it mean that we should design another algorithm or does it mean we have to make changes to this one and we need to make changes eliminating overhead processor usage like not showing frame, etc. We kindly request you to guide us as to what it could possibly mean and where we could improve. Thanking you Team PB#4097	02-12-2018	planter_bot,Planter_Bot
jdj42m6dpf66bf	Week 2/11 - 2/17	Regarding progress video submission	We weren't able to submit our progress video due to both exams and minor project presentations.We are currently struggling withpath traversal.We have completed the colour marker detection and image overlay part.We are sorry for the delay.Vivek SoodTeam LeaderTeam no. 508	02-11-2018	planter_bot
jdiw0a6a5757dj	Week 2/11 - 2/17	Feedback from progress video	Respected sir/ma'am;     How and when we get feedback of our progress video... Our team ID - #109	02-11-2018	planter_bot
jdiurjcnvpx7ey	Week 2/11 - 2/17	REGARDING PROGRESSION VIDEO	TEAM ID-4060 Respected Sir/ Ma'am We are unable to upload the progression video on 6th of Feb,2018 due to the college internal exams. Now we are working with good pace and so far we have completed 60% of the task. Now is there any disqualification of team if it is not able to upload the progression video. But we are sure to complete the full task very soon.	02-11-2018	planter_bot
jdiqaprzlwg4rh	Week 2/11 - 2/17	Traversal	#4183 After analyzing the plantation zone does the bot have to be in static position while the led blinks or can it keep traversing	02-11-2018	planter_bot
jdiamolpea85iq	Week 2/11 - 2/17	how to solve this		02-11-2018	planter_bot
jdh9vf7ohegj	Week 2/4 - 2/10	encoder doubt	team PB#2082 sir, The number of pulses per revolutionnoted in encoders are different for different observations and also the number of pulses received initially is slow but is increasing later on gradually.Please help us to rectify this error	02-10-2018	planter_bot
jdfzxcjhntq5q4	Week 2/4 - 2/10	issues with controlling bot	we are having trouble controlling our bots. we are using contour detection for following the line but can't get the next frame quick enough for processing so that the robot can make a turn when track turns. we have tried reducing the resolution and frame rate is already 20. please help.	02-09-2018	planter_bot
jdfwf9hfubctg	Week 2/4 - 2/10	About marks for terrains traversed	Respected Sir/Ma'am The rulebook mentions that 100 points will be awarded for each terrain traversed, we would be really thankful if you could please tell us what qualifies as traversing a terrainproperly enough for it to be counted in the score. Does it need to be exactly on the line at all times, or does it simply mean that the robot shouldn't go off the line. For example, our robot, at steep turns, starts turning before the actual turn so that it may turn properly, is it fine or not? Thanking you Team PB#4097	02-09-2018	planter_bot,Planter_Bot
jdf4e26shrj4dy	Week 2/4 - 2/10	Overlaying doubt	Dear sir/ ma'am        How to detect the green part in the plantation image to overlay the flowers in respective plantation zones? Please reply ASAP as we don't have enough time.	02-09-2018	planter_bot
jdea74dif9i5id	Week 2/4 - 2/10	Planter_Bot	Hello All,  Please note yellow Lily Seedling Image has been updated in the Task-3 Resources shared drive folder. Please take a note of this. It is named: lily-double.png Good Luck for testing.  Regards, e-Yantra Team	02-08-2018	planter_bot,Planter_Bot
jdd9urqenzg2yd	Week 2/4 - 2/10	About accessing individual objecs blender	Hi! We have written code for individual objects by their names for moving them to respective co-ordinates. But all the objects move to that point which is lastly assigned irrespective of the objects' name. How do we access individual objects using their names? Please help.	02-07-2018	transporter_bot
jdcz4en46y4nv	Week 2/4 - 2/10	feedback progress video	Hello, When will we receive the task result (feedback) for our progress video?	02-07-2018	harvester_bot
jdcwffjigjuq5	Week 2/4 - 2/10	About the code for setting up the crates in Blender	How do we have to take the input from the user ? Like after running the script from python console or from a text file where the user can input the required sequence ?	02-07-2018	transporter_bot
jdckuc52p1z3h2	Week 2/4 - 2/10	Doubt	On the plantation image how should we know where the flower must be blended. I mean should it be done by hard codes coordinates	02-07-2018	planter_bot
jdbw1zt1ih94jp	Week 2/4 - 2/10	Overheating of L298	I was not facing problems with L298 h bridge but recently it started overheating as soon as I connect battery to it. I have changed 3 H bridges. But still the problem is there. Please help us soon regarding this.	02-06-2018	transporter_bot
jdbsrpd38f66xb	Week 2/4 - 2/10	Can we put other images in addition to our code in Pi?	I wanted to know whether we can keep other files on our Pi which our code can use.  For example, keeping the images of the various shapes or some custom-created mask images that help us in overlaying?	02-06-2018	planter_bot
jdbnn4infzqu	Week 2/4 - 2/10	Regarding  Pi is not working	Sir, Our pi is not working properly and light is also not blinking. Can we use another Rapsberry pi ??	02-06-2018	planter_bot
jdbj6vq7ut4ko	Week 2/4 - 2/10	blender problem	When we are trying to move robot through loc send by xbee in blender blender stops responding	02-06-2018	transporter_bot
jdbagh5oa6i672	Week 2/4 - 2/10	Doubt	How to know the coordinates of PZ (plantation zone) should it be done by a hard codes coordinates or else what is the other way.	02-06-2018	planter_bot
jdba13pzxwo7nk	Week 2/4 - 2/10	read image	how to read images saved inside RPi3? how to read the 'plantation.jpg'?	02-06-2018	planter_bot
jdb2ox02t4j41o	Week 2/4 - 2/10	help with interrupts	Can anyone share me a link to study interrupt routines on Rpi?? I have searched few websites but couldn't fund anything useful there.	02-06-2018	planter_bot
jdakdighfo633z	Week 2/4 - 2/10	Raspberry pi 3	Sir/mam , we were working on the motor code and suddenly it stopped working ... We realised some of the gpio pins are not working and the pi gets quite hot now ... When we again tried to use the motor code, 2-3 pins then had a voltage of 2.3v instead of 3.3v .... So we are not using pi for now .... Pls instruct us what is wrong and how should we solve this problem , we don't want to fry the remaining gpio pins .... Pls help us our team id is 2415	02-06-2018	planter_bot
jda2pbthrq96t3	Week 2/4 - 2/10	no permission to update gpio	"Team#2082 while I was using pigpio library, though I have installed on my rpiit is giving an error ""no permission to update gpio"""	02-05-2018	planter_bot
jda1r9awp3ftn	Week 2/4 - 2/10	Error on running picam module	We are getting same error from a while. We replaced picam also but that didn't help. Error says: no data received from sensor. Check all the connections. Please help!! IMG20180202WA0001.jpg	02-05-2018	planter_bot
jd9pkaxt9ki45y	Week 2/4 - 2/10	Progress Video	As our exams are going on and we were not able to upload the video as we havent completed the task which we had to submit in progress video. Could i know which is the latest date by which we can upload the progress video coz our exams are yet going on? And what if we dont complete the task as in progress video but within a days we work hard and submit the final task on 27th feb..Would not submitting the progress video affect us in future?	02-05-2018	planter_bot
jd9ogfm3d0o68u	Week 2/4 - 2/10	Reflection on line	Respected Sir/Ma'am As the flex sheet is glossy, even the black parts of it are reflecting daylight coming from Windows. This is the reason we had to test it in a pitch black room at night with LEDs on the bot. The reflection of daylight on the blackline is causing problems in the threshold frame. Can you please suggest us something to resolve this issue and give us an idea of the lighting conditions robot will be tested under, in the finals. Thanking you Team 4097	02-05-2018	planter_bot,Planter_Bot
jd99bocrble2fg	Week 2/4 - 2/10	Delay in progress video submission	Group No.2242 We'll need 1-2 days to make the final submission.	02-05-2018	planter_bot
jd91idjtccy4hp	Week 2/4 - 2/10	Suggestion	If anyone is done with recording and uploading of their progress video, can u share your link ?? It will be really helpful to see it. Thanks	02-04-2018	planter_bot
jd91e2ayn6oo	Week 2/4 - 2/10	Task Help	Sir/Madam , our team id is 2242. Our robot moves the path smoothly when i use a webcamera, when i use the picam the video feed gets stuck at one point , and bot keeps that frame only causing the bot to malfunction. The code remains the same in both the cases. I am processing picamera at 160,120 resolution and frame rate of 6. Olease suggest how to overcome the problem. Note: i have used a kind a feedback technique only.	02-04-2018	planter_bot
jd8dyl1ypbrer	Week 2/4 - 2/10	Error	my camera was working fine but suddenly its showing this error, can u tell me what does this error mean. 	02-04-2018	planter_bot
jd6ck0hqp4j2td	Week 1/28 - 2/3	unable to use PWM on motor	PWM is not working. Even after changing the duty cycle and the frequency, the motor is running at same speed. Also, the motor is not turning off when we set the enable line as low, instead it turns off only when we fire GPIO.cleanup(). And also, once we run the code then on running the code the next time the motor starts running as soon as the code reaches theGPIO.setup() line. Please help.	02-03-2018	planter_bot,Planter_Bot
jd64ii4q4mc5ui	Week 1/28 - 2/3	Problem with encoder motor	One of our encoder motor has started to malfunction, due to which we are not able to work on it.What should we do now??? 	02-02-2018	planter_bot
jd5w1lzfmbd3hv	Week 1/28 - 2/3	      REGARDING SUBMISSION OF VIDEO ON 4TH OF FEB,2018	TEAM ID - 4060 Respected Sir/Ma'am we are not able to upload the progression video on 4th of Feb,2018 as our internal examinations are going on in the college. So can we upload the video later? Is there any problem if we aren't upload the video.	02-02-2018	planter_bot
jd5m41x2c2l5xh	Week 1/28 - 2/3	doubt about traversal during plucking	Consider the bot at the next(front) node of tree whose fruit must be plucked. After plucking the bot must move towards the right/left node of the trees position.Following the line may take more time.Hence can we move circularly around the tree without following the line(not following the black line only around the tree)?	02-02-2018	harvester_bot
